s,p,o
rc:AbdominalCavity,owl:equivalentClass,http://wikipedia.org/wiki/Abdominal_cavity
rc:AbdominalPain,owl:equivalentClass,http://wikipedia.org/wiki/Abdominal_pain
rc:Abdopus,owl:equivalentClass,http://wikipedia.org/wiki/Abdopus
rc:AbducensNerve,owl:equivalentClass,http://wikipedia.org/wiki/Abducens_nerve
rc:AbductiveInferenceProcess,owl:equivalentClass,http://wikipedia.org/wiki/Abductive_reasoning
rc:AbductorDigitiMinimi,owl:equivalentClass,http://wikipedia.org/wiki/Abductor_digiti_minimi_muscle_(foot)
rc:AbductorPollicisBrevis,owl:equivalentClass,http://wikipedia.org/wiki/Abductor_pollicis_brevis_muscle
rc:AbductorPollicisLongus,owl:equivalentClass,http://wikipedia.org/wiki/Abductor_pollicis_longus_muscle
rc:AbelsonMurineLeukemiaVirus,owl:equivalentClass,http://wikipedia.org/wiki/Abelson_murine_leukemia_virus
rc:AberdeenProvingGround,owl:equivalentClass,http://wikipedia.org/wiki/Aberdeen_Proving_Ground
rc:Abhorrence,owl:equivalentClass,http://wikipedia.org/wiki/Abhorrence
rc:AbigailVanBuren,owl:equivalentClass,http://wikipedia.org/wiki/Pauline_Phillips
rc:Abiu,owl:equivalentClass,http://wikipedia.org/wiki/Pouteria_caimito
rc:AbkhazLanguage,owl:equivalentClass,http://wikipedia.org/wiki/Abkhaz_language
rc:Abkhazia,owl:equivalentClass,http://wikipedia.org/wiki/Abkhazia
rc:Ablation,owl:equivalentClass,http://wikipedia.org/wiki/Ablation
rc:AbleBodiedSeaman,owl:equivalentClass,http://wikipedia.org/wiki/Able_Seaman_(occupation)
rc:AbnormalSystemCondition,owl:equivalentClass,http://wikipedia.org/wiki/Abnormalities
rc:AboBat,owl:equivalentClass,http://wikipedia.org/wiki/Abo_Bat
rc:Abolitionism,owl:equivalentClass,http://wikipedia.org/wiki/Abolitionism
rc:AbominableSnowman,owl:equivalentClass,http://wikipedia.org/wiki/Yeti
rc:AboriginalTitle,owl:equivalentClass,http://wikipedia.org/wiki/Aboriginal_title
rc:Abortifacient,owl:equivalentClass,http://wikipedia.org/wiki/Abortifacient
rc:AbortionDebate,owl:equivalentClass,http://wikipedia.org/wiki/Abortion_debate
rc:Abortion_BreastCancerHypothesis,owl:equivalentClass,http://wikipedia.org/wiki/Abortion–breast_cancer_hypothesis
rc:Abortion_Intentional,owl:equivalentClass,http://wikipedia.org/wiki/Abortion
rc:AbqaiqOilField,owl:equivalentClass,http://wikipedia.org/wiki/Abqaiq_oil_field
rc:Abra_ProvincePhilippines,owl:equivalentClass,http://wikipedia.org/wiki/Abra_(province)
rc:AbrahamLincoln,owl:equivalentClass,http://wikipedia.org/wiki/Abraham_Lincoln
rc:Abraham_Patriarch,owl:equivalentClass,http://wikipedia.org/wiki/Abraham
rc:Abralia,owl:equivalentClass,http://wikipedia.org/wiki/Abralia
rc:Abrasive,owl:equivalentClass,http://wikipedia.org/wiki/Abrasive
rc:AbrasiveBlasting,owl:equivalentClass,http://wikipedia.org/wiki/Abrasive_blasting
rc:AbrasiveWheel,owl:equivalentClass,http://wikipedia.org/wiki/Grinding_wheel
rc:AbrinToxin,owl:equivalentClass,http://wikipedia.org/wiki/Abrin
rc:AbscisicAcid,owl:equivalentClass,http://wikipedia.org/wiki/Abscisic_acid
rc:Absinthe,owl:equivalentClass,http://wikipedia.org/wiki/Absinthe
rc:AbsolutVodka,owl:equivalentClass,http://wikipedia.org/wiki/Absolut_Vodka
rc:AbsoluteMonarchy,owl:equivalentClass,http://wikipedia.org/wiki/Absolute_monarchy
rc:AbsoluteZero,owl:equivalentClass,http://wikipedia.org/wiki/Absolute_zero
rc:Absorbency,owl:equivalentClass,http://wikipedia.org/wiki/Absorption_(chemistry)
rc:AbsorptionEvent,owl:equivalentClass,http://wikipedia.org/wiki/Absorption_(electromagnetic_radiation)
rc:Abstinence,owl:equivalentClass,http://wikipedia.org/wiki/Abstinence
rc:Abstract,owl:equivalentClass,http://wikipedia.org/wiki/Abstract_(summary)
rc:AbstractAlgebra,owl:equivalentClass,http://wikipedia.org/wiki/Abstract_algebra
rc:AbstractInformationStructure,owl:equivalentClass,http://wikipedia.org/wiki/Abstract_data_type
rc:AbstractObjectTheory,owl:equivalentClass,http://wikipedia.org/wiki/Abstract_object_theory
rc:AbstractProgrammingLanguage,rdfs:subClassOf,http://wikipedia.org/wiki/Programming_language
rc:AbstractStructure,owl:equivalentClass,http://wikipedia.org/wiki/Abstract_structure
rc:AbuDhabi,owl:equivalentClass,http://wikipedia.org/wiki/Abu_Dhabi
rc:Abuse,owl:equivalentClass,http://wikipedia.org/wiki/Abuse
rc:AbutilonEremitopetalum,owl:equivalentClass,http://wikipedia.org/wiki/Abutilon_eremitopetalum
rc:AbutilonSandwicense,owl:equivalentClass,http://wikipedia.org/wiki/Abutilon_sandwicense
rc:AbyssalPlain,owl:equivalentClass,http://wikipedia.org/wiki/Abyssal_plain
rc:AbyssinianWoodpecker,owl:equivalentClass,http://wikipedia.org/wiki/Abyssinian_Woodpecker
rc:Abyssinian_Cat,owl:equivalentClass,http://wikipedia.org/wiki/Abyssinian_(cat)
rc:Acacia,owl:equivalentClass,http://wikipedia.org/wiki/Acacia
rc:Academia,kko:isRelatedTo,http://wikipedia.org/wiki/Academy
rc:AcademicBookReport,rdfs:subClassOf,http://wikipedia.org/wiki/Book_report
rc:AcademicDepartment,owl:equivalentClass,http://wikipedia.org/wiki/Academic_department
rc:AcademicEssay,rdfs:subClassOf,http://wikipedia.org/wiki/Essay
rc:AcademicGown,owl:equivalentClass,http://wikipedia.org/wiki/Academic_dress
rc:AcademicInstitution,owl:equivalentClass,http://wikipedia.org/wiki/Academic_institution
rc:AcademicOrganization,kko:superClassOf,http://wikipedia.org/wiki/Academic_institution
rc:AcademicProfessional,owl:equivalentClass,http://wikipedia.org/wiki/Faculty_(academic_staff)
rc:AcademicQuarter,owl:equivalentClass,http://wikipedia.org/wiki/Academic_Quarter
