typology_a,typology_b,shared_members,size_a,size_b,shared_rcs
AVInfo,ContextualAttributes,6,1425,1504,Backlit;Comedy;Parody;RoastComedy;Silhouetted;SituationalComedy
ActionTypes,Shapes,6,6885,260,Barrel_Container;DustStormAsObject;FoodStorageJar;GlassJar;Jar;PlasticJar
Artifacts,Diseases,6,26017,916,DisabilityRobot;ParaTableTennis;ParalympicVolleyball;ShipsLostWithAllHands;WheelchairBasketball;WheelchairBasketballCompetition
AttributeTypes,VisualInfo,6,1804,990,Backlit;Comedy;Parody;RoastComedy;Silhouetted;SituationalComedy
Concepts,NaturalPhenomena,6,313,638,Gravimetry;OilSpill;OilSpillInTheGulfOfMexico;Phenomena;PhysicalPhenomena;WinterPhenomena
Concepts,Places,6,313,6309,AxialNorthPoleOfEarth;AxialPoleOfPlanet;AxialSouthPoleOfEarth;Equator_Celestial;NorthCelestialPole;SouthCelestialPole
ContextualAttributes,TopicsCategories,6,1504,822,ElectricPowerTransmissionSystem;ElectricalOutlet;ElectricalPlug;HighVoltageDirectCurrent;PowerLine;TelephonePlug
ContextualAttributes,VisualInfo,6,1504,990,Backlit;Comedy;Parody;RoastComedy;Silhouetted;SituationalComedy
CopulativeRelations,Plants,6,7836,2330,Foliage;Pollination;PollinationManagement;PollinatorDecline;Rice;RiceVariety
EventTypes,RepresentationTypes,6,3210,638,AuthenticationEvent;Comedy;EmailAuthentication;Parody;RoastComedy;SituationalComedy
InquiryMethods,StructuredInfo,6,724,1695,AmericanCollegeTestingProgramAssessment;CollegeEntranceTest;ComputerModel;ConsistencyModel;ScholasticAptitudeTest;SimulationSoftware
KnowledgeDomains,LocationPlace,6,4841,1058,AutomaticCarWindow;AxialNorthPoleOfEarth;AxialPoleOfPlanet;AxialSouthPoleOfEarth;NorthCelestialPole;SouthCelestialPole
LocationPlace,Methodeutic,6,1058,5321,AutomaticCarWindow;AxialNorthPoleOfEarth;AxialPoleOfPlanet;AxialSouthPoleOfEarth;NorthCelestialPole;SouthCelestialPole
Places,TopicsCategories,6,6309,822,ElectricPowerTransmissionSystem;ElectricalOutlet;ElectricalPlug;HighVoltageDirectCurrent;PowerLine;TelephonePlug
Plants,RelationTypes,6,2330,9723,Foliage;Pollination;PollinationManagement;PollinatorDecline;Rice;RiceVariety
RepresentationTypes,TimeTypes,6,638,3679,AuthenticationEvent;Comedy;EmailAuthentication;Parody;RoastComedy;SituationalComedy
StructuredInfo,TopicsCategories,6,1695,822,Cyc;DBpedia;KBpedia;Petroglyph;RaceHumanCategorization;UMBEL
AreaRegion,Forms,7,4076,1906,AquaticEcosystem;ColdSpring;ImprovedSurface_PathArtifact;Rubble;UnpavedPathArtifact;UnpavedRoadway;WindowPane
