id,object,relatesTo
rc:Firefighting,rc:DangerousActivity,kko:relatesToConcepts
rc:FloodedArea,rc:DangerousThing,kko:relatesToConcepts
rc:FlowerArrangement,rc:Arrangement,kko:relatesToConcepts
rc:FoldingTable,rc:Collapsible,kko:relatesToForms
rc:FoodGroup,rc:ConventionalClassificationType,kko:relatesToCopulativeRelations
rc:Fork_Topographical,rc:BranchingJunction,kko:relatesToConcepts
rc:Freeware,rc:FreeThing,kko:relatesToConcepts
rc:FungalBioAgent,rc:LivingBiologicalAgent,kko:relatesToLivingThings
rc:Fungus,rc:Fungus_Generic,kko:relatesToKnowledgeDomains
rc:Fungus,rc:Heterotroph,kko:relatesToLivingThings
rc:FungusBLO,rc:BiologicalLivingObject,kko:relatesToLivingThings
rc:FungusBLO,rc:KingdomFungi,kko:relatesToLivingThings
rc:GamblingBettingEstablishment,rc:EntertainmentService,kko:relatesToTertiarySectorServices
rc:GenreTypes,rc:Classification,kko:relatesToContextualAttributes
rc:GeographicalQuantity,rc:GeographicAttribute,kko:relatesToContextualAttributes
rc:GeologicTimeScale,rc:Prehistoric,kko:relatesToConcepts
rc:GeopoliticalEntity,rc:GovernmentRelatedEntity,kko:relatesToAgents
rc:Gift,rc:TemporallyExistingThing,kko:relatesToConcepts
rc:Glacier,rc:Layer,kko:relatesToForms
rc:GlobalNaturalEnvironment,rc:Environment_Generic,kko:relatesToShapes
rc:Groundwater,rc:WaterResources,kko:relatesToConcepts
rc:Group,rc:CollectionType,kko:relatesToCopulativeRelations
rc:Hedge,rc:RowOfObjects,kko:relatesToConcepts
rc:HeritageSiteInBritishColumbia,rc:BritishColumbia_CanadianProvince,kko:relatesToGeopolitical
rc:HistoricFigure,rc:HistoricTemporalThing,kko:relatesToConcepts
rc:HistoricPeriod,rc:HistoricTemporalThing,kko:relatesToConcepts
rc:HistoricalMarker,rc:HistoricTemporalThing,kko:relatesToConcepts
rc:HistoricalSite,rc:HistoricTemporalThing,kko:relatesToConcepts
rc:HistoricallySignificantEvent,rc:HistoricTemporalThing,kko:relatesToConcepts
rc:Hoop,rc:RoundObject,kko:relatesToShapes
rc:Human,rc:HomoSapiens_asAnimal,kko:relatesToAnimals
rc:HumanLanguage,rc:TemporallyExistingThing,kko:relatesToConcepts
rc:HumanOccupationConstruct,rc:HumanlyOccupiedSpatialObject,kko:relatesToLocationPlace
