id,object,relatesTo
Buttermilk,Lumpy,relatesToForms
CollapsibleDevice,Collapsible,relatesToForms
CottageCheese,Lumpy,relatesToForms
CottonFiber,Fibrous,relatesToForms
CytoplasmLayer,Layer,relatesToForms
FemaleHuman,PersonalQuantity,relatesToForms
Fiberglass,Fibrous,relatesToForms
Flexible_Form,Flexible,relatesToForms
FoldingTable,Collapsible,relatesToForms
Glacier,Layer,relatesToForms
HydrocarbonReservoir,Layer,relatesToForms
LawnChair_PieceOfFurniture,Collapsible,relatesToForms
MaleHuman,PersonalQuantity,relatesToForms
Mixture,Mixture_Generic,relatesToForms
Paint,Paint_Generic,relatesToForms
PavedPath,Paved,relatesToForms
PersonTypes,PersonalQuantity,relatesToForms
Relish_Food,Lumpy,relatesToForms
Skin,Layer,relatesToForms
Stratum,Layer,relatesToForms
TextileArtifact,Fibrous,relatesToForms
TopographicalFeature,Configuration,relatesToForms
Wood,Fibrous,relatesToForms
WoolFiber,Fibrous,relatesToForms
AdministrativeDistrict,AdministrativeDivision,relatesToGeopolitical
ConfederateStatesOfAmerica_EconomicHistory,ConfederateStatesOfAmerica,relatesToGeopolitical
CountrySubsidiary,CountrySubsidiary,relatesToGeopolitical
HeritageSiteInBritishColumbia,BritishColumbia_CanadianProvince,relatesToGeopolitical
RomanFrontier,RomanEmpire,relatesToGeopolitical
InformationBearingWavePropagation,InformationTransferPhysicalEvent,relatesToInformation
Language,Languages,relatesToInformation
MediaProduct,Media,relatesToInformation
AwarenessQuantity,AwarenessAttribute,relatesToIntrinsicAttributes
ClothingSizeType,SizeAttribute,relatesToIntrinsicAttributes
Color,ColorAttribute,relatesToIntrinsicAttributes
Configuration,ConfigurationAttribute,relatesToIntrinsicAttributes
MentalQuantity,MentalAttribute,relatesToIntrinsicAttributes
NonAspectualQuantity,NonAspectualAttribute,relatesToIntrinsicAttributes
PersistenceDistribution,QualificationAttribute,relatesToIntrinsicAttributes
PersonalQuantity,PersonalAttribute,relatesToIntrinsicAttributes
ProbabilityInterval,QualificationAttribute,relatesToIntrinsicAttributes
Quality,QualityAttribute,relatesToIntrinsicAttributes
