frag_new,frag_old,qid,p,version_status,old_qid,id_type
AlgonquianEthnonym,,Q8235187,owl:equivalentClass,ADDED,,rc
AlgorithmsOnStrings,,Q8235223,owl:equivalentClass,ADDED,,rc
Alismatales,,Q27341,owl:equivalentClass,ADDED,,rc
Alisterus,,Q578711,owl:equivalentClass,ADDED,,rc
AlkalinizingAgent,,Q16274709,owl:equivalentClass,ADDED,,rc
AllBlackCastBroadwayShow,,Q8235481,owl:equivalentClass,ADDED,,rc
AllegoricalPainting,,Q15146286,owl:equivalentClass,ADDED,,rc
AllelopathicSubstance,,Q13923902,owl:equivalentClass,ADDED,,rc
AllergicReaction,,Q42982,owl:equivalentClass,ADDED,,rc
Allergy,,Q42982,owl:equivalentClass,ADDED,,rc
AlliedOccupationOfEurope,,Q8235944,owl:equivalentClass,ADDED,,rc
Alloposidae,,Q18712862,owl:equivalentClass,ADDED,,rc
AlphabeticWriting,,Q11077643,owl:equivalentClass,ADDED,,rc
AlphabetsUsedByTurkicLanguages,,Q8236112,owl:equivalentClass,ADDED,,rc
AltarBoy,,Q117885864,owl:equivalentClass,ADDED,,rc
AlternativeDetoxification,,Q8236376,owl:equivalentClass,ADDED,,rc
AlternativeDiagnosis,,Q8236377,owl:equivalentClass,ADDED,,rc
AlternativeInternetDNSService,,Q8236327,owl:equivalentClass,ADDED,,rc
AlternativeMedicalDiagnosticMethod,,Q8236391,owl:equivalentClass,ADDED,,rc
AlternativeMedicalSystem,,Q8236412,owl:equivalentClass,ADDED,,rc
AlternativeRadio,,Q8236420,owl:equivalentClass,ADDED,,rc
AlternativeRockGenre,,Q8236477,owl:equivalentClass,ADDED,,rc
AlternativeRockRecordLabel,,Q7820056,owl:equivalentClass,ADDED,,rc
AlternativeTheatre,,Q8236537,owl:equivalentClass,ADDED,,rc
AluminiumCompound,,Q7158340,owl:equivalentClass,ADDED,,rc
AluminumSheet,,Q9174067,owl:equivalentClass,ADDED,,rc
AlveolarSac,,Q66502899,owl:equivalentClass,ADDED,,rc
Amaranthaceae,,Q155931,owl:equivalentClass,ADDED,,rc
AmateurIceHockey,,Q8237602,owl:equivalentClass,ADDED,,rc
AmateurRadioLicensing,,Q8237626,owl:equivalentClass,ADDED,,rc
AmateurRadioOperatingAward,,Q8237628,owl:equivalentClass,ADDED,,rc
AmateurRadioReceiver,,Q8237631,owl:equivalentClass,ADDED,,rc
AmateurRadioSoftware,,Q8237634,owl:equivalentClass,ADDED,,rc
AmateurRadioTransceiver,,Q8237637,owl:equivalentClass,ADDED,,rc
AmateurRadioTransmitter,,Q8237635,owl:equivalentClass,ADDED,,rc
Amazonetta,,Q10732450,owl:equivalentClass,ADDED,,rc
AmbassadorsToTheUnitedArabRepublic,,Q13244569,owl:equivalentClass,ADDED,,rc
AmbientMusicRecordLabel,,Q8242799,owl:equivalentClass,ADDED,,rc
Ambleminae,,Q24283197,owl:equivalentClass,ADDED,,rc
Amblyoponinae,,Q139135,owl:equivalentClass,ADDED,,rc
Amblyopsidae,,Q884305,owl:equivalentClass,ADDED,,rc
Amblystegiaceae,,Q146234,owl:equivalentClass,ADDED,,rc
Amendment,,Q1269627,owl:equivalentClass,ADDED,,rc
AmendmentsToTheUnitedStatesConstitution,,Q7959662,owl:equivalentClass,ADDED,,rc
AmericanBasketballAssociationDraftPick,,Q8243038,owl:equivalentClass,ADDED,,rc
AmericanBasketballAssociationPlayoff,,Q8243051,owl:equivalentClass,ADDED,,rc
