frag_new,frag_old,qid,p,version_status,old_qid,id_type
CommandShip,CommandShip,Q4232629,owl:equivalentClass,UNCHANGED,,rc
CommediaDellarte,CommediaDellarte,Q191890,owl:equivalentClass,UNCHANGED,,rc
Commemoration,Commemoration,Q654032,owl:equivalentClass,UNCHANGED,,rc
CommemorativeCoin,CommemorativeCoin,Q855973,owl:equivalentClass,UNCHANGED,,rc
Commentator,Commentator,Q5152395,owl:equivalentClass,UNCHANGED,,rc
Commerce,Commerce,Q26643,owl:equivalentClass,UNCHANGED,,rc
CommercialAirliner,CommercialAirliner,Q210932,owl:equivalentClass,UNCHANGED,,rc
CommercialAirport,CommercialAirport,Q20977786,owl:equivalentClass,UNCHANGED,,rc
CommercialBuilding,CommercialBuilding,Q977382,owl:equivalentClass,UNCHANGED,,rc
CommercialCatalogueEdition,CommercialCatalogueEdition,Q55089312,owl:equivalentClass,UNCHANGED,,rc
CommercialFishing,CommercialFishing,Q11202642,owl:equivalentClass,UNCHANGED,,rc
CommercialHoldingCompany,CommercialHoldingCompany,Q2512624,owl:equivalentClass,UNCHANGED,,rc
Commercialism,Commercialism,Q565720,owl:equivalentClass,UNCHANGED,,rc
CommercialOrganization,CommercialOrganization,Q21980538,owl:equivalentClass,UNCHANGED,,rc
CommercialRealEstate,CommercialRealEstate,Q1520439,owl:equivalentClass,UNCHANGED,,rc
CommercialServiceOrganization,CommercialServiceOrganization,Q25351891,owl:equivalentClass,UNCHANGED,,rc
CommercialUseBainMarie,CommercialUseBainMarie,Q803889,owl:equivalentClass,UNCHANGED,,rc
CommissionAgreement,CommissionAgreement,Q1780244,owl:equivalentClass,UNCHANGED,,rc
CommissioningSomething,CommissioningSomething,Q1514547,owl:equivalentClass,UNCHANGED,,rc
CommitteeMember,CommitteeMember,Q55754031,owl:equivalentClass,UNCHANGED,,rc
CommittingSomeoneToAnInstitution,CommittingSomeoneToAnInstitution,Q694381,owl:equivalentClass,UNCHANGED,,rc
CommodityBoom,CommodityBoom,Q21281825,owl:equivalentClass,UNCHANGED,,rc
CommodityExchange,CommodityExchange,Q695817,owl:equivalentClass,UNCHANGED,,rc
CommodityPriceIndex,CommodityPriceIndex,Q2162462,owl:equivalentClass,UNCHANGED,,rc
CommodityProduct,CommodityProduct,Q317088,owl:equivalentClass,UNCHANGED,,rc
CommodityTrading,CommodityTrading,Q2922469,owl:equivalentClass,UNCHANGED,,rc
Commodore128,Commodore128,Q1115919,owl:equivalentClass,UNCHANGED,,rc
Commodore16,Commodore16,Q1115913,owl:equivalentClass,UNCHANGED,,rc
Commodore64,Commodore64,Q99775,owl:equivalentClass,UNCHANGED,,rc
CommodoreComputer,CommodoreComputer,Q208305,owl:equivalentClass,UNCHANGED,,rc
CommonBasilisk,CommonBasilisk,Q651273,owl:equivalentClass,UNCHANGED,,rc
CommonBileDuct,CommonBileDuct,Q1263617,owl:equivalentClass,UNCHANGED,,rc
CommonBlanketOctopus,CommonBlanketOctopus,Q3201248,owl:equivalentClass,UNCHANGED,,rc
CommonBuzzard,CommonBuzzard,Q25385,owl:equivalentClass,UNCHANGED,,rc
CommonCarotidArtery,CommonCarotidArtery,Q214275,owl:equivalentClass,UNCHANGED,,rc
CommonClubhookSquid,CommonClubhookSquid,Q2519387,owl:equivalentClass,UNCHANGED,,rc
CommonCold,CommonCold,Q12125,owl:equivalentClass,UNCHANGED,,rc
CommonDwarfMongoose,CommonDwarfMongoose,Q743563,owl:equivalentClass,UNCHANGED,,rc
CommonEider,CommonEider,Q26696,owl:equivalentClass,UNCHANGED,,rc
CommonEra,CommonEra,Q208141,owl:equivalentClass,UNCHANGED,,rc
CommonFlameback,CommonFlameback,Q31206,owl:equivalentClass,UNCHANGED,,rc
CommonFruitFly,CommonFruitFly,Q130888,owl:equivalentClass,UNCHANGED,,rc
CommonGatewayInterface,CommonGatewayInterface,Q264364,owl:equivalentClass,UNCHANGED,,rc
CommonHepaticArtery,CommonHepaticArtery,Q707236,owl:equivalentClass,UNCHANGED,,rc
CommonIliacArtery,CommonIliacArtery,Q707257,owl:equivalentClass,UNCHANGED,,rc
CommonIliacVein,CommonIliacVein,Q3143036,owl:equivalentClass,UNCHANGED,,rc
CommonKestrel,CommonKestrel,Q26490,owl:equivalentClass,UNCHANGED,,rc
CommonKusimanse,CommonKusimanse,Q947671,owl:equivalentClass,UNCHANGED,,rc
CommonLawSystem,CommonLawSystem,Q30216,owl:equivalentClass,UNCHANGED,,rc
CommonLisp,CommonLisp,Q849146,owl:equivalentClass,UNCHANGED,,rc
CommonMerganser,CommonMerganser,Q180991,owl:equivalentClass,UNCHANGED,,rc
CommonMudpuppy,CommonMudpuppy,Q604445,owl:equivalentClass,UNCHANGED,,rc
CommonNoctule,CommonNoctule,Q214846,owl:equivalentClass,UNCHANGED,,rc
CommonNoun,CommonNoun,Q2428747,owl:equivalentClass,UNCHANGED,,rc
CommonObjectRequestBrokerArchitecture,CommonObjectRequestBrokerArchitecture,Q691593,owl:equivalentClass,UNCHANGED,,rc
CommonOctopus,CommonOctopus,Q651361,owl:equivalentClass,UNCHANGED,,rc
CommonOpossum,CommonOpossum,Q194663,owl:equivalentClass,UNCHANGED,,rc
CommonPeronealNerve,CommonPeronealNerve,Q1577203,owl:equivalentClass,UNCHANGED,,rc
CommonPochard,CommonPochard,Q26742,owl:equivalentClass,UNCHANGED,,rc
CommonRedSoldierBeetle,CommonRedSoldierBeetle,Q386268,owl:equivalentClass,UNCHANGED,,rc
CommonSeal,CommonSeal,Q26913,owl:equivalentClass,UNCHANGED,,rc
CommonSense,CommonSense,Q332880,owl:equivalentClass,UNCHANGED,,rc
CommonShiningCockroach,CommonShiningCockroach,Q5153618,owl:equivalentClass,UNCHANGED,,rc
CommonSnakeneckTurtle,CommonSnakeneckTurtle,Q221080,owl:equivalentClass,UNCHANGED,,rc
CommonSnipe,CommonSnipe,Q25692,owl:equivalentClass,UNCHANGED,,rc
CommonStock,CommonStock,Q1081659,owl:equivalentClass,UNCHANGED,,rc
CommonToad,CommonToad,Q146375,owl:equivalentClass,UNCHANGED,,rc
CommonVampireBat,CommonVampireBat,Q300981,owl:equivalentClass,UNCHANGED,,rc
CommonwealthOfNationsOrganization,CommonwealthOfNationsOrganization,Q2578692,owl:equivalentClass,UNCHANGED,,rc
CommonwealthWarGravesCommissionCemetery,CommonwealthWarGravesCommissionCemetery,Q14750991,owl:equivalentClass,UNCHANGED,,rc
CommunalWorshipService,CommunalWorshipService,Q906066,owl:equivalentClass,UNCHANGED,,rc
Communication,Communication,Q11024,owl:equivalentClass,UNCHANGED,,rc
CommunicationChannel,CommunicationChannel,Q733553,owl:equivalentClass,UNCHANGED,,rc
CommunicationDesign,CommunicationDesign,Q333657,owl:equivalentClass,UNCHANGED,,rc
CommunicationDisorder,CommunicationDisorder,Q1058691,owl:equivalentClass,UNCHANGED,,rc
CommunicationProtocol,CommunicationProtocol,Q132364,owl:equivalentClass,UNCHANGED,,rc
CommunicationsDevice,CommunicationsDevice,Q1780509,owl:equivalentClass,UNCHANGED,,rc
CommunicationSkillsTraining,CommunicationSkillsTraining,Q5154232,owl:equivalentClass,UNCHANGED,,rc
CommunicationSoftware,CommunicationSoftware,Q3635085,owl:equivalentClass,UNCHANGED,,rc
CommunicationsSatellite,CommunicationsSatellite,Q149918,owl:equivalentClass,UNCHANGED,,rc
CommunicationTower,CommunicationTower,Q1068623,owl:equivalentClass,UNCHANGED,,rc
Communicator,Communicator,Q1120514,owl:equivalentClass,UNCHANGED,,rc
Communism,Communism,Q6186,owl:equivalentClass,UNCHANGED,,rc
Communist,Communist,Q28528560,owl:equivalentClass,UNCHANGED,,rc
CommunistOrganization,CommunistOrganization,Q3269648,owl:equivalentClass,UNCHANGED,,rc
CommunistParty,CommunistParty,Q233591,owl:equivalentClass,UNCHANGED,,rc
CommunistPartyOfColombia,CommunistPartyOfColombia,Q5154379,owl:equivalentClass,UNCHANGED,,rc
CommunistPartyOfIndiaMarxist,CommunistPartyOfIndiaMarxist,Q234277,owl:equivalentClass,UNCHANGED,,rc
CommunistRevolution,CommunistRevolution,Q2415843,owl:equivalentClass,UNCHANGED,,rc
CommunistState,CommunistState,Q849866,owl:equivalentClass,UNCHANGED,,rc
CommunistTerrorism,CommunistTerrorism,Q1964183,owl:equivalentClass,UNCHANGED,,rc
Community,Community,Q177634,owl:equivalentClass,UNCHANGED,,rc
CommunityCenter,CommunityCenter,Q77115,owl:equivalentClass,UNCHANGED,,rc
CommunityCollege,CommunityCollege,Q1336920,owl:equivalentClass,UNCHANGED,,rc
CommunityDevelopment,CommunityDevelopment,Q718998,owl:equivalentClass,UNCHANGED,,rc
CommunityDevelopmentBank,CommunityDevelopmentBank,Q3633759,owl:equivalentClass,UNCHANGED,,rc
CommunityOfPortugueseLanguageCountries,CommunityOfPortugueseLanguageCountries,Q182500,owl:equivalentClass,UNCHANGED,,rc
CommunityRadio,CommunityRadio,Q1179112,owl:equivalentClass,UNCHANGED,,rc
CommunityReinvestmentAct,CommunityReinvestmentAct,Q1120654,owl:equivalentClass,UNCHANGED,,rc
Commuting,Commuting,Q48442,owl:equivalentClass,UNCHANGED,,rc
ComoranLanguage,ComoranLanguage,Q33077,owl:equivalentClass,UNCHANGED,,rc
CompactCar,CompactCar,Q946808,owl:equivalentClass,UNCHANGED,,rc
CompactDiscAndDVDCopyProtection,CompactDiscAndDVDCopyProtection,Q5155274,owl:equivalentClass,UNCHANGED,,rc
CompactDiscCover,CompactDiscCover,Q1333350,owl:equivalentClass,UNCHANGED,,rc
CompactDiscPlayer,CompactDiscPlayer,Q1023100,owl:equivalentClass,UNCHANGED,,rc
Compactification,Compactification,Q5155330,owl:equivalentClass,UNCHANGED,,rc
Company,Company,Q783794,owl:equivalentClass,UNCHANGED,,rc
CompaqComputer,CompaqComputer,Q324603,owl:equivalentClass,UNCHANGED,,rc
CompaqDeskproComputer,CompaqDeskproComputer,Q5155581,owl:equivalentClass,UNCHANGED,,rc
CompaqPresarioComputer,CompaqPresarioComputer,Q5155591,owl:equivalentClass,UNCHANGED,,rc
Comparing,Comparing,Q410038,owl:equivalentClass,UNCHANGED,,rc
Compartment,Compartment,Q1780781,owl:equivalentClass,UNCHANGED,,rc
Compendium,Compendium,Q1459574,owl:equivalentClass,UNCHANGED,,rc
Compensation,Compensation,Q308922,owl:equivalentClass,UNCHANGED,,rc
CompensationPackage,CompensationPackage,Q5419946,owl:equivalentClass,UNCHANGED,,rc
Competition,Competition,Q476300,owl:equivalentClass,UNCHANGED,,rc
CompetitionEconomics,CompetitionEconomics,Q319676,owl:equivalentClass,UNCHANGED,,rc
Competitiveness,Competitiveness,Q155953,owl:equivalentClass,UNCHANGED,,rc
CompetitiveRound,CompetitiveRound,Q58092637,owl:equivalentClass,UNCHANGED,,rc
CompiledConceptualWork,CompiledConceptualWork,Q1614239,owl:equivalentClass,UNCHANGED,,rc
Compiler,Compiler,Q47506,owl:equivalentClass,UNCHANGED,,rc
CompilerConstruction,CompilerConstruction,Q1121462,owl:equivalentClass,UNCHANGED,,rc
Complaint,Complaint,Q836925,owl:equivalentClass,UNCHANGED,,rc
ComplementaryBasePairing,ComplementaryBasePairing,Q2644277,owl:equivalentClass,UNCHANGED,,rc
Complementizer,Complementizer,Q1121559,owl:equivalentClass,UNCHANGED,,rc
ComplementSystem,ComplementSystem,Q334848,owl:equivalentClass,UNCHANGED,,rc
CompletelyCloudCoveredArea,CompletelyCloudCoveredArea,Q1055865,owl:equivalentClass,UNCHANGED,,rc
CompletelyFlawed,CompletelyFlawed,Q1193381,owl:equivalentClass,UNCHANGED,,rc
CompleteProtein,CompleteProtein,Q5156511,owl:equivalentClass,UNCHANGED,,rc
Complexity,Complexity,Q723897,owl:equivalentClass,UNCHANGED,,rc
ComplexNumber,ComplexNumber,Q11567,owl:equivalentClass,UNCHANGED,,rc
ComplexometricIndicator,ComplexometricIndicator,Q2370113,owl:equivalentClass,UNCHANGED,,rc
ComplexSystem,ComplexSystem,Q2995634,owl:equivalentClass,UNCHANGED,,rc
Complication,Complication,Q1346149,owl:equivalentClass,UNCHANGED,,rc
ComplicationsOfLabourAndDelivery,ComplicationsOfLabourAndDelivery,Q7075540,owl:equivalentClass,UNCHANGED,,rc
Component,Component,Q226635,owl:equivalentClass,UNCHANGED,,rc
Composite,Composite,Q181790,owl:equivalentClass,UNCHANGED,,rc
CompositeBow,CompositeBow,Q186476,owl:equivalentClass,UNCHANGED,,rc
CompositeNumber,CompositeNumber,Q50707,owl:equivalentClass,UNCHANGED,,rc
CompositeParticle,CompositeParticle,Q3366856,owl:equivalentClass,UNCHANGED,,rc
Composition,Composition,Q1333743,owl:equivalentClass,UNCHANGED,,rc
CompositionB,CompositionB,Q898998,owl:equivalentClass,UNCHANGED,,rc
CompositionC,CompositionC,Q2990635,owl:equivalentClass,UNCHANGED,,rc
CompositionC4,CompositionC4,Q220775,owl:equivalentClass,UNCHANGED,,rc
CompositionLeather,CompositionLeather,Q5156792,owl:equivalentClass,UNCHANGED,,rc
CompositionMovement,CompositionMovement,Q929848,owl:equivalentClass,UNCHANGED,,rc
CompostelaValley,CompostelaValley,Q13789,owl:equivalentClass,UNCHANGED,,rc
Composter,Composter,Q8024486,owl:equivalentClass,UNCHANGED,,rc
CompostingProcess,CompostingProcess,Q13222335,owl:equivalentClass,UNCHANGED,,rc
Composure,Composure,Q17987540,owl:equivalentClass,UNCHANGED,,rc
CompoundFamilyName,CompoundFamilyName,Q29042997,owl:equivalentClass,UNCHANGED,,rc
CompoundFruit,CompoundFruit,Q747463,owl:equivalentClass,UNCHANGED,,rc
CompoundLocomotive,CompoundLocomotive,Q617792,owl:equivalentClass,UNCHANGED,,rc
ComprehensiveTestBanTreaty,ComprehensiveTestBanTreaty,Q521306,owl:equivalentClass,UNCHANGED,,rc
CompressedGasTank,CompressedGasTank,Q774332,owl:equivalentClass,UNCHANGED,,rc
Compressibility,Compressibility,Q8067817,owl:equivalentClass,UNCHANGED,,rc
Compressor,Compressor,Q178898,owl:equivalentClass,UNCHANGED,,rc
Compromise,Compromise,Q726686,owl:equivalentClass,UNCHANGED,,rc
Compsoctena,Compsoctena,Q13845786,owl:equivalentClass,UNCHANGED,,rc
Compsodes,Compsodes,Q5157084,owl:equivalentClass,UNCHANGED,,rc
Compsomantis,Compsomantis,Q5157091,owl:equivalentClass,UNCHANGED,,rc
Compsopogonophyceae,Compsopogonophyceae,Q1054781,owl:equivalentClass,UNCHANGED,,rc
Comptroller,Comptroller,Q673633,owl:equivalentClass,UNCHANGED,,rc
ComputabilityTheory,ComputabilityTheory,Q818930,owl:equivalentClass,UNCHANGED,,rc
ComputationalAstrophysics,ComputationalAstrophysics,Q5157302,owl:equivalentClass,UNCHANGED,,rc
ComputationalChemistry,ComputationalChemistry,Q369472,owl:equivalentClass,UNCHANGED,,rc
ComputationalEngineering,ComputationalEngineering,Q362601,owl:equivalentClass,UNCHANGED,,rc
ComputationalFluidDynamics,ComputationalFluidDynamics,Q815820,owl:equivalentClass,UNCHANGED,,rc
ComputationalGroupTheory,ComputationalGroupTheory,Q1971729,owl:equivalentClass,UNCHANGED,,rc
ComputationalLearningTheory,ComputationalLearningTheory,Q2462783,owl:equivalentClass,UNCHANGED,,rc
ComputationalLinguist,ComputationalLinguist,Q18612079,owl:equivalentClass,UNCHANGED,,rc
ComputationalNumberTheory,ComputationalNumberTheory,Q2646614,owl:equivalentClass,UNCHANGED,,rc
ComputationalPhysics,ComputationalPhysics,Q909554,owl:equivalentClass,UNCHANGED,,rc
ComputationalTopology,ComputationalTopology,Q4129926,owl:equivalentClass,UNCHANGED,,rc
Computer,Computer,Q68,owl:equivalentClass,UNCHANGED,,rc
ComputerAidedDesign,ComputerAidedDesign,Q184793,owl:equivalentClass,UNCHANGED,,rc
ComputerAidedDesignSoftware,ComputerAidedDesignSoftware,Q15548076,owl:equivalentClass,UNCHANGED,,rc
ComputerAidedEngineering,ComputerAidedEngineering,Q1050567,owl:equivalentClass,UNCHANGED,,rc
ComputerAidedManufacturingSoftware,ComputerAidedManufacturingSoftware,Q15548064,owl:equivalentClass,UNCHANGED,,rc
ComputerAidedSoftwareEngineeringProgram,ComputerAidedSoftwareEngineeringProgram,Q868714,owl:equivalentClass,UNCHANGED,,rc
ComputerAnimation,ComputerAnimation,Q1401416,owl:equivalentClass,UNCHANGED,,rc
ComputerArchitecture,ComputerArchitecture,Q173212,owl:equivalentClass,UNCHANGED,,rc
ComputerArt,ComputerArt,Q1376265,owl:equivalentClass,UNCHANGED,,rc
ComputerAssistedSurgery,ComputerAssistedSurgery,Q937196,owl:equivalentClass,UNCHANGED,,rc
ComputerBinaryFile,ComputerBinaryFile,Q218013,owl:equivalentClass,UNCHANGED,,rc
ComputerBitmapDisplay,ComputerBitmapDisplay,Q1194708,owl:equivalentClass,UNCHANGED,,rc
ComputerBulletinBoard,ComputerBulletinBoard,Q210499,owl:equivalentClass,UNCHANGED,,rc
ComputerBus,ComputerBus,Q178048,owl:equivalentClass,UNCHANGED,,rc
ComputerChess,ComputerChess,Q1122588,owl:equivalentClass,UNCHANGED,,rc
ComputerClipartFile,ComputerClipartFile,Q1101796,owl:equivalentClass,UNCHANGED,,rc
ComputerCrashing,ComputerCrashing,Q333501,owl:equivalentClass,UNCHANGED,,rc
ComputerData,ComputerData,Q494756,owl:equivalentClass,UNCHANGED,,rc
ComputerDataStructure,ComputerDataStructure,Q175263,owl:equivalentClass,UNCHANGED,,rc
ComputerDisplay,ComputerDisplay,Q1147660,owl:equivalentClass,UNCHANGED,,rc
ComputerEnclosure,ComputerEnclosure,Q3975,owl:equivalentClass,UNCHANGED,,rc
ComputerEngineering,ComputerEngineering,Q428691,owl:equivalentClass,UNCHANGED,,rc
ComputerError,ComputerError,Q1332193,owl:equivalentClass,UNCHANGED,,rc
ComputerFile,ComputerFile,Q82753,owl:equivalentClass,UNCHANGED,,rc
ComputerFileTypeByFormat,ComputerFileTypeByFormat,Q235557,owl:equivalentClass,UNCHANGED,,rc
ComputerGameEntertainmentSoftware,ComputerGameEntertainmentSoftware,Q4485157,owl:equivalentClass,UNCHANGED,,rc
ComputerGameProgram,ComputerGameProgram,Q5157543,owl:equivalentClass,UNCHANGED,,rc
ComputerGraphics,ComputerGraphics,Q7600677,owl:equivalentClass,UNCHANGED,,rc
ComputerGraphicsBoard,ComputerGraphicsBoard,Q4308,owl:equivalentClass,UNCHANGED,,rc
ComputerHardware,ComputerHardware,Q3966,owl:equivalentClass,UNCHANGED,,rc
ComputerIcon,ComputerIcon,Q138754,owl:equivalentClass,UNCHANGED,,rc
ComputerImageFile,ComputerImageFile,Q1572121,owl:equivalentClass,UNCHANGED,,rc
ComputerImpactPrinter,ComputerImpactPrinter,Q1660218,owl:equivalentClass,UNCHANGED,,rc
ComputerIndustry,ComputerIndustry,Q1067601,owl:equivalentClass,UNCHANGED,,rc
ComputerInformationStorageMedia,ComputerInformationStorageMedia,Q1048236,owl:equivalentClass,UNCHANGED,,rc
ComputerInputDevice,ComputerInputDevice,Q864114,owl:equivalentClass,UNCHANGED,,rc
ComputerJoystick,ComputerJoystick,Q178805,owl:equivalentClass,UNCHANGED,,rc
ComputerKeyboard,ComputerKeyboard,Q250,owl:equivalentClass,UNCHANGED,,rc
ComputerLanguage,ComputerLanguage,Q629206,owl:equivalentClass,UNCHANGED,,rc
ComputerManufacturer,ComputerManufacturer,Q2717839,owl:equivalentClass,UNCHANGED,,rc
ComputerModel,ComputerModel,Q29876482,owl:equivalentClass,UNCHANGED,,rc
ComputerMouse,ComputerMouse,Q7987,owl:equivalentClass,UNCHANGED,,rc
ComputerMousePad,ComputerMousePad,Q861934,owl:equivalentClass,UNCHANGED,,rc
ComputerMusic,ComputerMusic,Q1122550,owl:equivalentClass,UNCHANGED,,rc
ComputerNetwork,ComputerNetwork,Q1301371,owl:equivalentClass,UNCHANGED,,rc
ComputerNetworkingCable,ComputerNetworkingCable,Q387683,owl:equivalentClass,UNCHANGED,,rc
ComputerOperator,ComputerOperator,Q5157562,owl:equivalentClass,UNCHANGED,,rc
ComputerOutputDevice,ComputerOutputDevice,Q778637,owl:equivalentClass,UNCHANGED,,rc
ComputerPatchProgram,ComputerPatchProgram,Q208218,owl:equivalentClass,UNCHANGED,,rc
ComputerPerformance,ComputerPerformance,Q1197550,owl:equivalentClass,UNCHANGED,,rc
ComputerPeripheralDevice,ComputerPeripheralDevice,Q178648,owl:equivalentClass,UNCHANGED,,rc
ComputerPort,ComputerPort,Q13743633,owl:equivalentClass,UNCHANGED,,rc
ComputerPowerSupply,ComputerPowerSupply,Q3972,owl:equivalentClass,UNCHANGED,,rc
ComputerProcessor,ComputerProcessor,Q1466064,owl:equivalentClass,UNCHANGED,,rc
ComputerProgram,ComputerProgram,Q40056,owl:equivalentClass,UNCHANGED,,rc
ComputerProgrammer,ComputerProgrammer,Q5482740,owl:equivalentClass,UNCHANGED,,rc
ComputerProgrammerProfessional,ComputerProgrammerProfessional,Q210167,owl:equivalentClass,UNCHANGED,,rc
ComputerProgramming,ComputerProgramming,Q80006,owl:equivalentClass,UNCHANGED,,rc
ComputerProgramModule,ComputerProgramModule,Q6453666,owl:equivalentClass,UNCHANGED,,rc
ComputerRepairPerson,ComputerRepairPerson,Q5157573,owl:equivalentClass,UNCHANGED,,rc
ComputerScientist,ComputerScientist,Q82594,owl:equivalentClass,UNCHANGED,,rc
ComputerSecurity,ComputerSecurity,Q3510521,owl:equivalentClass,UNCHANGED,,rc
ComputerServer,ComputerServer,Q44127,owl:equivalentClass,UNCHANGED,,rc
ComputerSimulation,ComputerSimulation,Q925667,owl:equivalentClass,UNCHANGED,,rc
ComputerSoftwareLibrary,ComputerSoftwareLibrary,Q188860,owl:equivalentClass,UNCHANGED,,rc
ComputerSoundFile,ComputerSoundFile,Q758871,owl:equivalentClass,UNCHANGED,,rc
ComputerStorageDevice,ComputerStorageDevice,Q66221,owl:equivalentClass,UNCHANGED,,rc
ComputerSurveillance,ComputerSurveillance,Q651476,owl:equivalentClass,UNCHANGED,,rc
ComputerSystem,ComputerSystem,Q13407144,owl:equivalentClass,UNCHANGED,,rc
ComputerTerminal,ComputerTerminal,Q216640,owl:equivalentClass,UNCHANGED,,rc
ComputerThread,ComputerThread,Q213092,owl:equivalentClass,UNCHANGED,,rc
ComputerUser,ComputerUser,Q278368,owl:equivalentClass,UNCHANGED,,rc
ComputerVirus,ComputerVirus,Q485,owl:equivalentClass,UNCHANGED,,rc
ComputerVision,ComputerVision,Q844240,owl:equivalentClass,UNCHANGED,,rc
ComputerVulnerability,ComputerVulnerability,Q631425,owl:equivalentClass,UNCHANGED,,rc
ComputerWallpaperFile,ComputerWallpaperFile,Q1139104,owl:equivalentClass,UNCHANGED,,rc
ComputerWorkstation,ComputerWorkstation,Q192525,owl:equivalentClass,UNCHANGED,,rc
ComputerWorm,ComputerWorm,Q180712,owl:equivalentClass,UNCHANGED,,rc
Computing,Computing,Q179310,owl:equivalentClass,UNCHANGED,,rc
ComputingPlatform,ComputingPlatform,Q241317,owl:equivalentClass,UNCHANGED,,rc
ComputingTerminology,ComputingTerminology,Q3457057,owl:equivalentClass,UNCHANGED,,rc
Comrat,Comrat,Q241122,owl:equivalentClass,UNCHANGED,,rc
ConasaugaLogperch,ConasaugaLogperch,Q3232850,owl:equivalentClass,UNCHANGED,,rc
ConcanavalinA,ConcanavalinA,Q419277,owl:equivalentClass,UNCHANGED,,rc
Concealer,Concealer,Q1123724,owl:equivalentClass,UNCHANGED,,rc
ConcentrationCamp,ConcentrationCamp,Q152081,owl:equivalentClass,UNCHANGED,,rc
ConcentrationStrength,ConcentrationStrength,Q5158330,owl:equivalentClass,UNCHANGED,,rc
Concept,Concept,Q151885,owl:equivalentClass,UNCHANGED,,rc
ConceptAlbum,ConceptAlbum,Q207393,owl:equivalentClass,UNCHANGED,,rc
ConceptAutomobile,ConceptAutomobile,Q850270,owl:equivalentClass,UNCHANGED,,rc
ConceptInMetaphysics,ConceptInMetaphysics,Q56043481,owl:equivalentClass,UNCHANGED,,rc
ConceptInPhysics,ConceptInPhysics,Q33104303,owl:equivalentClass,UNCHANGED,,rc
ConceptionsOfGod,ConceptionsOfGod,Q5158426,owl:equivalentClass,UNCHANGED,,rc
ConceptualAbstraction,ConceptualAbstraction,Q673661,owl:equivalentClass,UNCHANGED,,rc
ConceptualDistinction,ConceptualDistinction,Q5282965,owl:equivalentClass,UNCHANGED,,rc
ConceptualModel,ConceptualModel,Q2623243,owl:equivalentClass,UNCHANGED,,rc
ConceptualWork,ConceptualWork,Q858157,owl:equivalentClass,UNCHANGED,,rc
ConceptualWorkSeries,ConceptualWorkSeries,Q1983062,owl:equivalentClass,UNCHANGED,,rc
Concerned,Concerned,Q1324697,owl:equivalentClass,UNCHANGED,,rc
ConcertHall,ConcertHall,Q1060829,owl:equivalentClass,UNCHANGED,,rc
Concertina,Concertina,Q593050,owl:equivalentClass,UNCHANGED,,rc
Concerto,Concerto,Q9748,owl:equivalentClass,UNCHANGED,,rc
ConcertTour,ConcertTour,Q1573906,owl:equivalentClass,UNCHANGED,,rc
Concession,Concession,Q327209,owl:equivalentClass,UNCHANGED,,rc
ConcessionArea,ConcessionArea,Q25377652,owl:equivalentClass,UNCHANGED,,rc
Conchapelopia,Conchapelopia,Q5158614,owl:equivalentClass,UNCHANGED,,rc
Conchifera,Conchifera,Q675203,owl:equivalentClass,UNCHANGED,,rc
ConchoWaterSnake,ConchoWaterSnake,Q2711826,owl:equivalentClass,UNCHANGED,,rc
Concierge,Concierge,Q2664461,owl:equivalentClass,UNCHANGED,,rc
ConcordancesPublishing,ConcordancesPublishing,Q839018,owl:equivalentClass,UNCHANGED,,rc
Concorde,Concorde,Q6505,owl:equivalentClass,UNCHANGED,,rc
Concourse,Concourse,Q862212,owl:equivalentClass,UNCHANGED,,rc
Concrete,Concrete,Q22657,owl:equivalentClass,UNCHANGED,,rc
ConcreteBlock,ConcreteBlock,Q766952,owl:equivalentClass,UNCHANGED,,rc
ConcreteMortar,ConcreteMortar,Q189566,owl:equivalentClass,UNCHANGED,,rc
ConcurrentComputing,ConcurrentComputing,Q128392,owl:equivalentClass,UNCHANGED,,rc
Concussion,Concussion,Q326921,owl:equivalentClass,UNCHANGED,,rc
Condensation,Condensation,Q166583,owl:equivalentClass,UNCHANGED,,rc
CondensedMatter,CondensedMatter,Q214781,owl:equivalentClass,UNCHANGED,,rc
Condiment,Condiment,Q2596997,owl:equivalentClass,UNCHANGED,,rc
Condolence,Condolence,Q1206972,owl:equivalentClass,UNCHANGED,,rc
Condom,Condom,Q14076,owl:equivalentClass,UNCHANGED,,rc
Condominium,Condominium,Q161851,owl:equivalentClass,UNCHANGED,,rc
Condor,Condor,Q1211606,owl:equivalentClass,UNCHANGED,,rc
ConductorBaton,ConductorBaton,Q860256,owl:equivalentClass,UNCHANGED,,rc
Condylarth,Condylarth,Q655831,owl:equivalentClass,UNCHANGED,,rc
Condyle,Condyle,Q943060,owl:equivalentClass,UNCHANGED,,rc
CondyloidJoint,CondyloidJoint,Q1303003,owl:equivalentClass,UNCHANGED,,rc
ConfectionaryProduct,ConfectionaryProduct,Q5159627,owl:equivalentClass,UNCHANGED,,rc
Confectioner,Confectioner,Q2992505,owl:equivalentClass,UNCHANGED,,rc
Confectionery,Confectionery,Q18646422,owl:equivalentClass,UNCHANGED,,rc
ConfederateStatesOfAmerica,ConfederateStatesOfAmerica,Q81931,owl:equivalentClass,UNCHANGED,,rc
Conference,Conference,Q2020153,owl:equivalentClass,UNCHANGED,,rc
ConferenceProceedingsArticle,ConferenceProceedingsArticle,Q23927052,owl:equivalentClass,UNCHANGED,,rc
