s,p,o
rc:Fjord,kko:superClassOf,http://www.geonames.org/ontology#H.FJD
rc:Fjord,kko:superClassOf,http://www.geonames.org/ontology#H.FJDS
rc:Flat_Topographical_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.FLTU
rc:FordInStream,owl:equivalentClass,http://www.geonames.org/ontology#T.FORD
rc:Forest,owl:equivalentClass,http://www.geonames.org/ontology#V.FRST
rc:ForestClearing,owl:equivalentClass,http://www.geonames.org/ontology#L.CLG
rc:ForestReserve,owl:equivalentClass,http://www.geonames.org/ontology#L.RESF
rc:ForestStation,owl:equivalentClass,http://www.geonames.org/ontology#S.STNF
rc:Fork_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#U.FRKU
rc:Fork_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#U.FRSU
rc:FossilForest,owl:equivalentClass,http://www.geonames.org/ontology#V.FRSTF
rc:Foundry_Building,owl:equivalentClass,http://www.geonames.org/ontology#S.FNDY
rc:FourthOrderAdministrativeDivision,owl:equivalentClass,http://www.geonames.org/ontology#A.ADM4
rc:FourthOrderAdministrativeDivision_Historical,owl:equivalentClass,http://www.geonames.org/ontology#A.ADM4H
rc:FourthOrderSeat,owl:equivalentClass,http://www.geonames.org/ontology#P.PPLA4
rc:Fracture_Zone_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.FRZU
rc:FreeTradeZone,owl:equivalentClass,http://www.geonames.org/ontology#S.ZNF
rc:Furrow_Topographical_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.FURU
rc:Gap_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#T.GAP
rc:Gap_Topographical_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.GAPU
rc:Garden,owl:equivalentClass,http://www.geonames.org/ontology#S.GDN
rc:Gateway,owl:equivalentClass,http://www.geonames.org/ontology#S.GATE
rc:GeographicalRegion,owl:equivalentClass,http://www.geonames.org/ontology#L.LCTY
rc:GeographicalRegion,owl:equivalentClass,http://www.geonames.org/ontology#L.RGN
rc:GeopoliticalDependentEntity,owl:equivalentClass,http://www.geonames.org/ontology#A.PCLD
rc:GeopoliticalDependentEntity,owl:equivalentClass,http://www.geonames.org/ontology#A.PCLS
rc:GeopoliticalEntity,owl:equivalentClass,http://www.geonames.org/ontology#A.PCL
rc:GeopoliticalEntitySeat,owl:equivalentClass,http://www.geonames.org/ontology#P.PPLG
rc:GeopoliticalEntity_Historical,owl:equivalentClass,http://www.geonames.org/ontology#A.PCLH
rc:Geyser,owl:equivalentClass,http://www.geonames.org/ontology#H.GYSR
rc:Ghat,owl:equivalentClass,http://www.geonames.org/ontology#S.GHAT
rc:Glacier,owl:equivalentClass,http://www.geonames.org/ontology#H.GLCR
rc:GolfCourse,owl:equivalentClass,http://www.geonames.org/ontology#S.RECG
rc:Gorge,owl:equivalentClass,http://www.geonames.org/ontology#T.GRGE
rc:GovernmentalBuilding,owl:equivalentClass,http://www.geonames.org/ontology#S.ADMF
rc:GraduateSchool,owl:equivalentClass,http://www.geonames.org/ontology#S.UNIO
rc:GrassyRegion,owl:equivalentClass,http://www.geonames.org/ontology#V.GRSLD
rc:Grave,owl:equivalentClass,http://www.geonames.org/ontology#S.GRVE
rc:GravellySoilRegion,owl:equivalentClass,http://www.geonames.org/ontology#L.GVL
rc:Graveyard,owl:equivalentClass,http://www.geonames.org/ontology#S.CMTY
rc:Greenhouse,owl:equivalentClass,http://www.geonames.org/ontology#S.NSY
rc:Gulf,owl:equivalentClass,http://www.geonames.org/ontology#H.GULF
rc:Gully_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.GLYU
rc:Guyot,kko:superClassOf,http://www.geonames.org/ontology#U.TMSU
rc:Guyot,kko:superClassOf,http://www.geonames.org/ontology#U.TMTU
rc:HaltingPlace,owl:equivalentClass,http://www.geonames.org/ontology#S.HLT
rc:Hammock_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#T.HMCK
rc:Harbor,kko:superClassOf,http://www.geonames.org/ontology#H.HBR
rc:Harbor,kko:superClassOf,http://www.geonames.org/ontology#H.HBRX
rc:Headland,owl:equivalentClass,http://www.geonames.org/ontology#T.HDLD
rc:Headquarters_Park,owl:equivalentClass,http://www.geonames.org/ontology#S.PRKHQ
rc:Headwater,owl:equivalentClass,http://www.geonames.org/ontology#H.STMH
rc:Heath,owl:equivalentClass,http://www.geonames.org/ontology#V.HTH
rc:Heliport_Physical,owl:equivalentClass,http://www.geonames.org/ontology#S.AIRH
rc:Hermitage,owl:equivalentClass,http://www.geonames.org/ontology#S.HERM
rc:Hill,owl:equivalentClass,http://www.geonames.org/ontology#T.HLL
rc:HillRange,owl:equivalentClass,http://www.geonames.org/ontology#T.HLLS
rc:HillRange_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.RNGU
rc:Hill_Undersea,kko:superClassOf,http://www.geonames.org/ontology#U.HLLU
rc:Hill_Undersea,kko:superClassOf,http://www.geonames.org/ontology#U.HLSU
rc:Hill_Undersea,kko:superClassOf,http://www.geonames.org/ontology#U.MNDU
rc:HistoricalSite,owl:equivalentClass,http://www.geonames.org/ontology#S.HSTS
rc:HolySite,owl:equivalentClass,http://www.geonames.org/ontology#S.RLG
rc:Homestead,owl:equivalentClass,http://www.geonames.org/ontology#S.HMSD
rc:HospitalBuilding,owl:equivalentClass,http://www.geonames.org/ontology#S.HSP
rc:HotSpring,owl:equivalentClass,http://www.geonames.org/ontology#H.SPNT
rc:HotelBuilding,owl:equivalentClass,http://www.geonames.org/ontology#S.HTL
rc:House_Country,owl:equivalentClass,http://www.geonames.org/ontology#S.HSEC
rc:House_Modern,kko:superClassOf,http://www.geonames.org/ontology#S.GHSE
rc:House_Modern,kko:superClassOf,http://www.geonames.org/ontology#S.HSE
rc:HuntingReserve,owl:equivalentClass,http://www.geonames.org/ontology#L.RESH
rc:HydroelectricDam,owl:equivalentClass,http://www.geonames.org/ontology#S.PSH
rc:Icecap,kko:superClassOf,http://www.geonames.org/ontology#H.CAPG
rc:Icecap,kko:superClassOf,http://www.geonames.org/ontology#H.DOMG
rc:Icecap,kko:superClassOf,http://www.geonames.org/ontology#H.DPRG
rc:Icecap,kko:superClassOf,http://www.geonames.org/ontology#H.RDGG
rc:IndustrializedRegion,owl:equivalentClass,http://www.geonames.org/ontology#L.INDS
rc:Inlet,kko:superClassOf,http://www.geonames.org/ontology#H.INLT
rc:Inlet,kko:superClassOf,http://www.geonames.org/ontology#H.INLTQ
rc:InspectionFacility,owl:equivalentClass,http://www.geonames.org/ontology#S.STNI
rc:InterduneTrough,owl:equivalentClass,http://www.geonames.org/ontology#T.TRGD
rc:Interfluve,owl:equivalentClass,http://www.geonames.org/ontology#T.INTF
rc:IrrigatedLand,owl:equivalentClass,http://www.geonames.org/ontology#L.FLDI
rc:IrrigationCanal,kko:superClassOf,http://www.geonames.org/ontology#H.CNLI
rc:IrrigationCanal,kko:superClassOf,http://www.geonames.org/ontology#H.CNLSB
rc:IrrigationDitch,owl:equivalentClass,http://www.geonames.org/ontology#H.DTCHI
rc:IrrigationSystem,owl:equivalentClass,http://www.geonames.org/ontology#H.SYSI
rc:Island,owl:equivalentClass,http://www.geonames.org/ontology#T.ISL
rc:IslandRegion,kko:superClassOf,http://www.geonames.org/ontology#T.ISLS
rc:IslandRegion,kko:superClassOf,http://www.geonames.org/ontology#T.ISLX
rc:Island_LandTied,owl:equivalentClass,http://www.geonames.org/ontology#T.ISLT
rc:Islet,owl:equivalentClass,http://www.geonames.org/ontology#T.ISLET
rc:IsraeliSettlement,owl:equivalentClass,http://www.geonames.org/ontology#P.STLMT
rc:Isthmus,owl:equivalentClass,http://www.geonames.org/ontology#T.ISTH
rc:Jetty,owl:equivalentClass,http://www.geonames.org/ontology#S.JTY
rc:Karst,owl:equivalentClass,http://www.geonames.org/ontology#T.KRST
rc:Knoll_Undersea,kko:superClassOf,http://www.geonames.org/ontology#U.KNLU
rc:Knoll_Undersea,kko:superClassOf,http://www.geonames.org/ontology#U.KNSU
rc:LaborCamp,owl:equivalentClass,http://www.geonames.org/ontology#S.CMPLA
rc:Lagoon,kko:superClassOf,http://www.geonames.org/ontology#H.LGN
rc:Lagoon,kko:superClassOf,http://www.geonames.org/ontology#H.LGNS
rc:Lagoon,kko:superClassOf,http://www.geonames.org/ontology#H.LGNX
rc:Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LK
rc:Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKC
rc:Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKI
rc:Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKS
rc:Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKSB
rc:Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKSC
rc:Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKSI
rc:Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKX
rc:LakeBed,owl:equivalentClass,http://www.geonames.org/ontology#H.LBED
rc:Landfill,owl:equivalentClass,http://www.geonames.org/ontology#S.LNDF
rc:LavaField,owl:equivalentClass,http://www.geonames.org/ontology#T.LAVA
rc:LearningCenterBuilding,owl:equivalentClass,http://www.geonames.org/ontology#S.CCL
rc:LeasedTerritory,owl:equivalentClass,http://www.geonames.org/ontology#A.LTER
rc:Ledge_Topographical_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.LDGU
rc:LeperColony,owl:equivalentClass,http://www.geonames.org/ontology#S.LEPC
rc:Levee,owl:equivalentClass,http://www.geonames.org/ontology#T.LEV
rc:Levee_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.LEVU
rc:LibrarySpace,owl:equivalentClass,http://www.geonames.org/ontology#S.LIBR
rc:Lighthouse,owl:equivalentClass,http://www.geonames.org/ontology#S.LTHSE
rc:Limekiln,owl:equivalentClass,http://www.geonames.org/ontology#S.MFGLM
rc:LivestockFarm,owl:equivalentClass,http://www.geonames.org/ontology#S.RNCH
rc:LivestockRoute,owl:equivalentClass,http://www.geonames.org/ontology#R.STKR
rc:LivestockStable,owl:equivalentClass,http://www.geonames.org/ontology#S.STBL
rc:LocalGovernmentOffice,owl:equivalentClass,http://www.geonames.org/ontology#S.GOVL
rc:LoggingCamp,owl:equivalentClass,http://www.geonames.org/ontology#S.CMPL
rc:Majorca_Island,owl:equivalentClass,http://www.geonames.org/3574220
rc:MangroveIsland,owl:equivalentClass,http://www.geonames.org/ontology#T.ISLM
rc:MangroveSwamp,owl:equivalentClass,http://www.geonames.org/ontology#H.MGV
rc:Marina,owl:equivalentClass,http://www.geonames.org/ontology#S.MAR
rc:MaritimeSchool,owl:equivalentClass,http://www.geonames.org/ontology#S.SCHN
rc:Marketplace_Object,owl:equivalentClass,http://www.geonames.org/ontology#S.MKT
rc:Marsh,owl:equivalentClass,http://www.geonames.org/ontology#H.MRSH
rc:Meadow,owl:equivalentClass,http://www.geonames.org/ontology#V.MDW
rc:MeanderNeck_Topographical,owl:equivalentClass,http://www.geonames.org/ontology#T.NKM
rc:MedicalCareFacility,kko:superClassOf,http://www.geonames.org/ontology#S.CTRM
rc:MedicalCareFacility,kko:superClassOf,http://www.geonames.org/ontology#S.HSPC
rc:MedicalCareFacility,kko:superClassOf,http://www.geonames.org/ontology#S.HSPD
rc:MedicalCareFacility,kko:superClassOf,http://www.geonames.org/ontology#S.HSPL
rc:Mesa,owl:equivalentClass,http://www.geonames.org/ontology#T.MESA
rc:Mesa_Undersea,owl:equivalentClass,http://www.geonames.org/ontology#U.MESU
rc:MilitaryBase_Grounds,kko:superClassOf,http://www.geonames.org/ontology#L.MILB
rc:MilitaryBase_Grounds,kko:superClassOf,http://www.geonames.org/ontology#S.FT
rc:MilitaryFacility,owl:equivalentClass,http://www.geonames.org/ontology#S.INSM
rc:MilitaryPost,owl:equivalentClass,http://www.geonames.org/ontology#S.PSTP
rc:MilitarySchool,owl:equivalentClass,http://www.geonames.org/ontology#S.SCHM
