s,p,o
rc:CinemaOrMovieTheater,owl:equivalentClass,http://schema.org/MovieTheater
rc:CircularRegion,kko:superClassOf,http://schema.org/GeoCircle
rc:City,owl:equivalentClass,http://schema.org/City
rc:CityHall_Building,owl:equivalentClass,http://schema.org/CityHall
rc:ClassificationSystem,kko:superClassOf,http://schema.org/CategoryCode
rc:ClassificationSystem,kko:superClassOf,http://schema.org/CategoryCodeSet
rc:ClinicalTrial,kko:superClassOf,http://schema.org/MedicalTrialDesign
rc:ClinicalTrial,owl:equivalentClass,http://schema.org/MedicalTrial
rc:ClothingStore,owl:equivalentClass,http://schema.org/ClothingStore
rc:CoffeeHouse_Organization,owl:equivalentClass,http://schema.org/CafeOrCoffeeShop
rc:Collection,kko:superClassOf,http://schema.org/Class
rc:CollectionPage,owl:equivalentClass,http://schema.org/CollectionPage
rc:CollectionType,kko:superClassOf,http://schema.org/Collection
rc:ComedyNightClub,owl:equivalentClass,http://schema.org/ComedyClub
rc:ComicBookIssue,owl:equivalentClass,http://schema.org/ComicIssue
rc:ComicBookSeries,owl:equivalentClass,http://schema.org/ComicSeries
rc:ComicStrip,kko:superClassOf,http://schema.org/ComicStory
rc:Commentary,kko:superClassOf,http://schema.org/CorrectionComment
rc:Commentary,rdfs:subClassOf,http://schema.org/Comment
rc:CommercialOrganization,kko:superClassOf,http://schema.org/Corporation
rc:CommercialPassengerTransportation,kko:superClassOf,http://schema.org/Taxi
rc:Communicating,kko:superClassOf,http://schema.org/CommunicateAction
rc:CommunityHealth,owl:equivalentClass,http://schema.org/CommunityHealth
rc:CompletedStatus,kko:superClassOf,http://schema.org/ActiveActionStatus
rc:CompletedStatus,kko:superClassOf,http://schema.org/FailedActionStatus
rc:CompletedStatus,rdfs:subClassOf,http://schema.org/ActionStatusType
rc:CompletedStatus,rdfs:subClassOf,http://schema.org/CompletedActionStatus
rc:CompletedStatus,rdfs:subClassOf,http://schema.org/PotentialActionStatus
rc:ComputerCode,owl:equivalentClass,http://schema.org/Code
rc:ComputerCode_Source,owl:equivalentClass,http://schema.org/SoftwareSourceCode
rc:ComputerDatabase,kko:superClassOf,http://schema.org/Dataset
rc:ComputerGameProgram_Graphical,kko:superClassOf,http://schema.org/VideoGameClip
rc:ComputerGameProgram_Graphical,kko:superClassOf,http://schema.org/VideoGameSeries
rc:ComputerGameProgram_Graphical,owl:equivalentClass,http://schema.org/VideoGame
rc:ComputerLanguage,owl:equivalentClass,http://schema.org/ComputerLanguage
rc:ComputerStore,owl:equivalentClass,http://schema.org/ComputerStore
rc:ComputerUserInteraction,owl:equivalentClass,http://schema.org/UserInteraction
rc:ConceptualWork,owl:equivalentClass,http://schema.org/CreativeWork
rc:ConceptualWorkSeries,kko:superClassOf,http://schema.org/Episode
rc:ConceptualWorkSeries,owl:equivalentClass,http://schema.org/CreativeWorkSeries
rc:ConferenceRoom,owl:equivalentClass,http://schema.org/MeetingRoom
rc:ConfirmingTruthEvent,rdfs:subClassOf,http://schema.org/ConfirmAction
rc:ConflictOutcome_Draw,owl:equivalentClass,http://schema.org/TieAction
rc:ConnectedSpaceRegion,owl:equivalentClass,http://schema.org/GeoShape
rc:Consortium,owl:equivalentClass,http://schema.org/Consortium
rc:ContactLocation,kko:superClassOf,http://schema.org/ContactPointOption
rc:ContactPage,owl:equivalentClass,http://schema.org/ContactPage
rc:Continent,owl:equivalentClass,http://schema.org/Continent
rc:ControllingSomething,kko:superClassOf,http://schema.org/ActivateAction
rc:ControllingSomething,kko:superClassOf,http://schema.org/DeactivateAction
rc:ControllingSomething,kko:superClassOf,http://schema.org/ResumeAction
rc:ControllingSomething,kko:superClassOf,http://schema.org/SuspendAction
rc:ControllingSomething,owl:equivalentClass,http://schema.org/ControlAction
rc:ConvenienceStore,owl:equivalentClass,http://schema.org/ConvenienceStore
rc:Conversation,owl:equivalentClass,http://schema.org/Conversation
rc:CookingFood,owl:equivalentClass,http://schema.org/CookAction
rc:CosmeticSurgery,rdfs:subClassOf,http://schema.org/PlasticSurgery
rc:CountingDevice,kko:superClassOf,http://schema.org/InteractionCounter
rc:Country,owl:equivalentClass,http://schema.org/Country
rc:Course_Academic,kko:superClassOf,http://schema.org/CourseInstance
rc:Course_Academic,owl:equivalentClass,http://schema.org/Course
rc:Courthouse,owl:equivalentClass,http://schema.org/Courthouse
rc:CoverArt,kko:superClassOf,http://schema.org/ComicCoverArt
rc:CoverArt,owl:equivalentClass,http://schema.org/CoverArt
rc:CreatingAnArtifact,rdfs:subClassOf,http://schema.org/CreateAction
rc:CreditCard,owl:equivalentClass,http://schema.org/CreditCard
rc:Crematorium,owl:equivalentClass,http://schema.org/Crematorium
rc:CurrencyExchange,kko:superClassOf,http://schema.org/CurrencyConversionService
rc:CurrencyExchange,kko:superClassOf,http://schema.org/ExchangeRateSpecification
rc:DanceClub,owl:equivalentClass,http://schema.org/NightClub
rc:DanceCompany,owl:equivalentClass,http://schema.org/DanceGroup
rc:DancePerformance,owl:equivalentClass,http://schema.org/DanceEvent
rc:DataFeed_System,kko:superClassOf,http://schema.org/CompleteDataFeed
rc:DataFeed_System,kko:superClassOf,http://schema.org/DataFeed
rc:DataFeed_System,kko:superClassOf,http://schema.org/DataFeedItem
rc:Date,owl:equivalentClass,http://schema.org/Date
rc:DayCareOrganization,kko:superClassOf,http://schema.org/Preschool
rc:DayCareOrganization,rdfs:subClassOf,http://schema.org/ChildCare
rc:DayOfWeekType,owl:equivalentClass,http://schema.org/DayOfWeek
rc:DaySpa,owl:equivalentClass,http://schema.org/DaySpa
rc:DefeatedSituation,kko:superClassOf,http://schema.org/LoseAction
rc:DefenceEstablishment,owl:equivalentClass,http://schema.org/DefenceEstablishment
rc:DeliveryServiceEvent,kko:superClassOf,http://schema.org/DeliveryMethod
rc:DeliveryServiceEvent,kko:superClassOf,http://schema.org/LockerDelivery
