kbpedia_id,s,p,o,
http://kbpedia.org/kko/rc/LadderScaffolding,LadderScaffolding,owl:equivalentClass,http://www.wikidata.org/entity/Q233320,Q233320
http://kbpedia.org/kko/rc/LadderScaffoldingAccessory,LadderScaffoldingAccessory,owl:equivalentClass,http://www.wikidata.org/entity/Q168639,Q168639
http://kbpedia.org/kko/rc/LaDigueDayGecko,LaDigueDayGecko,owl:equivalentClass,http://www.wikidata.org/entity/Q7181300,Q7181300
http://kbpedia.org/kko/rc/LadinoLanguage,LadinoLanguage,owl:equivalentClass,http://www.wikidata.org/entity/Q36196,Q36196
http://kbpedia.org/kko/rc/Ladle,Ladle,owl:equivalentClass,http://www.wikidata.org/entity/Q193358,Q193358
http://kbpedia.org/kko/rc/LadogaSeal,LadogaSeal,owl:equivalentClass,http://www.wikidata.org/entity/Q2558790,Q2558790
http://kbpedia.org/kko/rc/LadySlipper,LadySlipper,owl:equivalentClass,http://www.wikidata.org/entity/Q15350083,Q15350083
http://kbpedia.org/kko/rc/LagerBeer,LagerBeer,owl:equivalentClass,http://www.wikidata.org/entity/Q253481,Q253481
http://kbpedia.org/kko/rc/LaggarFalcon,LaggarFalcon,owl:equivalentClass,http://www.wikidata.org/entity/Q845955,Q845955
http://kbpedia.org/kko/rc/Lagoon,Lagoon,owl:equivalentClass,http://www.wikidata.org/entity/Q187223,Q187223
http://kbpedia.org/kko/rc/LagoonsOfTheBlackSea,LagoonsOfTheBlackSea,owl:equivalentClass,http://www.wikidata.org/entity/Q8580060,Q8580060
http://kbpedia.org/kko/rc/LahontanCutthroatTrout,LahontanCutthroatTrout,owl:equivalentClass,http://www.wikidata.org/entity/Q6473317,Q6473317
http://kbpedia.org/kko/rc/LajesDoPico,LajesDoPico,owl:equivalentClass,http://www.wikidata.org/entity/Q1019053,Q1019053
http://kbpedia.org/kko/rc/Lake,Lake,owl:equivalentClass,http://www.wikidata.org/entity/Q23397,Q23397
http://kbpedia.org/kko/rc/LakeAustin,LakeAustin,owl:equivalentClass,http://www.wikidata.org/entity/Q1128082,Q1128082
http://kbpedia.org/kko/rc/LakeBaykal,LakeBaykal,owl:equivalentClass,http://www.wikidata.org/entity/Q5513,Q5513
http://kbpedia.org/kko/rc/LakeBuchanan,LakeBuchanan,owl:equivalentClass,http://www.wikidata.org/entity/Q3825654,Q3825654
http://kbpedia.org/kko/rc/LakeChadGerbil,LakeChadGerbil,owl:equivalentClass,http://www.wikidata.org/entity/Q1763195,Q1763195
http://kbpedia.org/kko/rc/LakeChamplain,LakeChamplain,owl:equivalentClass,http://www.wikidata.org/entity/Q68467,Q68467
