id,object,relatesTo
ProbabilityInterval,QualificationAttribute,relatesToIntrinsicAttributes
ProcessType,TemporalStuffType,relatesToConcepts
ProcessedFood,FoodAndDrinkPreparation,relatesToActionTypes
Produce,Food,relatesToFoodDrink
ProkaryoticCell,MoneraKingdom,relatesToLivingThings
ProtistBLO,BiologicalLivingObject,relatesToLivingThings
ProtistBLO,KingdomProtista,relatesToLivingThings
Protista,Microorganism,relatesToLivingThings
Quality,QualityAttribute,relatesToIntrinsicAttributes
Quantity,QuantityAttribute,relatesToContextualAttributes
RailroadSwitch,BranchingJunction,relatesToConcepts
Rapids,DangerousThing,relatesToConcepts
RawMaterials,Resource,relatesToConcepts
RecruitingActivity_Military,MilitaryOrganizationConcept,relatesToConcepts
ReleaseOfBiochemicallyHarmfulSubstance,DangerousSituation,relatesToConcepts
ReleaseOfBiochemicallyHarmfulSubstance,EventCausingDistressOrPain,relatesToConcepts
Relish_Food,Lumpy,relatesToForms
RenewableResource,Resource,relatesToConcepts
RhizariaBLO,KingdomRhizaria,relatesToLivingThings
RoadwayInterchange,ArrangementOfLikeObjects,relatesToConcepts
RoadwayJunction,JunctionOfPaths,relatesToConcepts
RomanFrontier,RomanEmpire,relatesToGeopolitical
Rotunda,RoundObject,relatesToShapes
Saw,DangerousThing,relatesToConcepts
Scandal,EventCausingDistressOrPain,relatesToConcepts
Scene_Dramatic,TemporallyContinuousThing,relatesToConcepts
ScubaDiving,DangerousActivity,relatesToConcepts
Seaweed,MarineOrganism,relatesToLivingThings
SeedGerminationEvent,BiologicalAttribute,relatesToAdjunctualAttributes
SelfControl,IndependentThing,relatesToConcepts
SemiSolidTangibleThing,FiniteSpatialThing,relatesToShapes
SensoryQuantity,SensoryAttribute,relatesToIntrinsicAttributes
SentientAnimal,Sentient,relatesToAgents
ServiceEvent,HelpingAnAgent,relatesToActionTypes
SharkAttack,DangerousEvent,relatesToConcepts
Shark_GreatWhite,DangerousThing,relatesToConcepts
SilentFilmMusic,Movie_Silent,relatesToVisualInfo
SingleCellOrganism,Microorganism,relatesToLivingThings
Situation,TemporallyExistingThing,relatesToConcepts
Skin,Layer,relatesToForms
SkyDiving,DangerousActivity,relatesToConcepts
Slide_Topographical,Pile,relatesToConcepts
Smoking,DangerousActivity,relatesToConcepts
SocialEnvironment,Environment_Generic,relatesToShapes
SocialQuantity,SocialAttribute,relatesToContextualAttributes
SolarEnergy,Light_Stuff,relatesToConcepts
SolidTangibleArtifact,SolidTangibleThing,relatesToShapes
Solid_StateOfMatter,SolidTangibleThing,relatesToShapes
SomaticCell,Protozoan,relatesToLivingThings
SpatialThing,Spatial_Topic,relatesToTopicsCategories
SpatialThing_Localized,TemporallyExistingThing,relatesToConcepts
SportsAward,AwardAttribute,relatesToAdjunctualAttributes
StramenopilesBLO,KingdomStramenopiles,relatesToLivingThings
Stratum,Layer,relatesToForms
StyleAttribute,ConventionalClassificationType,relatesToCopulativeRelations
SubAtomicParticle,MicroscopicScaleObject,relatesToShapes
SubAtomicParticle,TemporalThing,relatesToConcepts
SubstanceAbuse,DangerousActivity,relatesToConcepts
SurfaceRegion_Finite,FiniteSpatialThing,relatesToShapes
SymptomConditions,PhysiologicalCondition,relatesToDiseases
TechnologyEvangelism,Technology,relatesToConcepts
TechnologyInTheMiddleAges,Technology,relatesToConcepts
Technology_Artifact,Technology,relatesToConcepts
TelephoneSystem,TransactionalNetwork,relatesToConcepts
TerrestrialAnimal,TerrestrialOrganism,relatesToLivingThings
TerrestrialPlant,TerrestrialOrganism,relatesToLivingThings
TextileArtifact,Fibrous,relatesToForms
TimeInterval,TemporallyExtendedThing,relatesToConcepts
TimeInterval,TimeAttributes,relatesToIntrinsicAttributes
TimeParameter,TimeAttributes,relatesToIntrinsicAttributes
Time_Quantity,TimeAttributes,relatesToIntrinsicAttributes
Timekeeping,UnitOfMeasureConcept,relatesToConcepts
TopographicalFeature,Configuration,relatesToForms
TopographicalFeature,Place_NonAgent_Area,relatesToAreaRegion
Topsoil,SurfaceLayer_TopSurface,relatesToShapes
TornadoAsObject,DangerousThing,relatesToConcepts
TortureDevice,DangerousThing,relatesToConcepts
Torus,RoundObject,relatesToShapes
TouristAttraction,EntertainmentService,relatesToTertiarySectorServices
ToxicSubstance,Toxicology,relatesToKnowledgeDomains
Train,Railway,relatesToAreaRegion
TransportAndTheEnvironment,EnvironmentalImpact,relatesToArtifacts
TransportByMode,Transportation_Topic,relatesToTopicsCategories
TransportSystem,Transportation_Topic,relatesToTopicsCategories
TransportationDevice,HumanlyOccupiedSpatialObject,relatesToLocationPlace
TravelClass,TravelAttribute,relatesToIntrinsicAttributes
UrineTest,Urine,relatesToOrganicMatter
Vampire,Mammal,relatesToAnimals
VerificationOfCredit,Credit,relatesToEconomicSystems
Virology,Virus,relatesToLivingThings
Virus,Microorganism,relatesToLivingThings
VisualImage,VisibleLight,relatesToNaturalPhenomena
WaterIndustry,Water,relatesToNaturalSubstances
WaterResources,Water,relatesToNaturalSubstances
WaterSurfacePath,Water,relatesToNaturalMatter
WaterTreatment,PublicUtilityService,relatesToTertiarySectorServices
Water_Fresh,WaterResources,relatesToConcepts
Weapon,DangerousThing,relatesToConcepts
Werewolf,Mammal,relatesToAnimals
WholeBody,IndependentThing,relatesToConcepts
Wildfire,DangerousSituation,relatesToConcepts
Wood,Fibrous,relatesToForms
WoolFiber,Fibrous,relatesToForms
Yeast,Microorganism,relatesToLivingThings
