child-id,parent-id
HomoSapiens,Animal
HoneyBadger,Animal
HornedLizard,Animal
Horse,Animal
HouseSparrow,Animal
Hungry,Animal
IceWorm,Animal
JavanRhinoceros,Animal
JuvenileAnimal,Animal
KingCobra,Animal
KneelingPosture,Animal
Lamprey,Animal
LegsCrossedOnFurniture,Animal
LegsStraddlingPosture,Animal
MaleAnimal,Animal
MedicalPatient,Animal
Megalodon,Animal
MigratoryAnimal,Animal
ModeratelyFull,Animal
Mollusk,Animal
NocturnalAnimal,Animal
NorthernBaldIbis,Animal
Oarfish,Animal
OrbWeaverSpider,Animal
Orphan,Animal
OviparousAnimal,Animal
Pectinariidae,Animal
PelicanEel,Animal
PersonWithSexOrgansCovered,Animal
Poikilotherm,Animal
Porifera,Animal
Prey,Animal
PronePosture,Animal
Quadruped,Animal
RecliningPosture,Animal
Red-belliedBlackSnake,Animal
ScaledAnimal,Animal
SemiConscious,Animal
SentientAnimal,Animal
SexuallyExperienced,Animal
ShortPhysicalBuild,Animal
SilkyShark,Animal
SittingPosture,Animal
SittingPosture-Slouching,Animal
SkinnyPhysicalBuild,Animal
SlightPhysicalBuild,Animal
SpeartoothShark,Animal
SpinnerShark,Animal
Starving,Animal
StockyPhysicalBuild,Animal
Stuffed,Animal
TallPhysicalBuild,Animal
TameAnimal,Animal
TarantulaHawk,Animal
TawnyFrogmouth,Animal
TentCaterpillar,Animal
TigerSalamander,Animal
Tilapia,Animal
Triceratops,Animal
Unconscious,Animal
UplandMoa,Animal
UprightPosture,Animal
Vegetarian,Animal
VenomousAnimal,Animal
Vermin,Animal
Virgin,Animal
ViviparousAnimal,Animal
Walleye,Animal
WesternBlackRhinoceros,Animal
WhaleShark,Animal
WidowSpider,Animal
WildAnimal,Animal
WoollyMammoth,Animal
AdvancingToTheNextRound,AnimalActivity
AnimalLocomotion,AnimalActivity
Diastole,AnimalActivity
EventCausingDistressOrPain,AnimalActivity
FaceToFacePresenceCommunicating,AnimalActivity
Fleeing,AnimalActivity
Foraging,AnimalActivity
GettingAnErection,AnimalActivity
GoingSomewhere,AnimalActivity
GoingToSleep,AnimalActivity
HeldCaptive,AnimalActivity
HidingAnObject,AnimalActivity
HidingAnObjectByMovingIt,AnimalActivity
Howling,AnimalActivity
IncurringAnInjury,AnimalActivity
Ingesting,AnimalActivity
MakingAbstract-List-Information,AnimalActivity
Nesting,AnimalActivity
Patrolling,AnimalActivity
PersonTypeByOccupation,AnimalActivity
PhysicalRestraint,AnimalActivity
Prevention,AnimalActivity
Reconnaissance-MilitaryOperation,AnimalActivity
ReleasingFromConfinement,AnimalActivity
Replay,AnimalActivity
Revenge,AnimalActivity
Rollout,AnimalActivity
Smoking,AnimalActivity
Starvation,AnimalActivity
StimulatingSomeAnimal,AnimalActivity
SupportingOnesWeight,AnimalActivity
Systole,AnimalActivity
TakingABreak,AnimalActivity
Territorialization,AnimalActivity
TouchingEvent,AnimalActivity
Anemic,AnimalBLO
AnimalBLOTypeByPosition,AnimalBLO
AsexualBLO,AnimalBLO
AthleticPhysicalBuild,AnimalBLO
BlindAnimal,AnimalBLO
BloodCell,AnimalBLO
Contorted-BodyPosition,AnimalBLO
CurvaceousPhysicalBuild,AnimalBLO
Egg,AnimalBLO
ExtracellularMatrix,AnimalBLO
FatPhysicalBuild,AnimalBLO
Flexed,AnimalBLO
HearingImpairedAnimal,AnimalBLO
Inflamed,AnimalBLO
Injured,AnimalBLO
Mute,AnimalBLO
Paraplegic,AnimalBLO
Quadriplegic,AnimalBLO
Semen,AnimalBLO
SexuallyMature,AnimalBLO
SkinnyPhysicalBuild,AnimalBLO
SlightPhysicalBuild,AnimalBLO
SpermCell,AnimalBLO
TallPhysicalBuild,AnimalBLO
Unvaccinated-Generic,AnimalBLO
Vaccinated-Generic,AnimalBLO
WithoutHair,AnimalBLO
AnimalBodyPart-External,AnimalBodyPart
Anus,AnimalBodyPart
Armpit,AnimalBodyPart
BackOfHand,AnimalBodyPart
Beak,AnimalBodyPart
Bill-Birds,AnimalBodyPart
BrainStem,AnimalBodyPart
BrocasArea,AnimalBodyPart
Buttocks,AnimalBodyPart
Cerebellum,AnimalBodyPart
CerebralHemisphere,AnimalBodyPart
Cerebrum,AnimalBodyPart
Cheek-Facial,AnimalBodyPart
Chest-BodyPart,AnimalBodyPart
Chin,AnimalBodyPart
Cornea,AnimalBodyPart
Diencephalon,AnimalBodyPart
Ear,AnimalBodyPart
Earlobe,AnimalBodyPart
Epithalamus,AnimalBodyPart
ExternalEar,AnimalBodyPart
ExternalNose,AnimalBodyPart
ExtrudedBodyPart,AnimalBodyPart
Eyelid,AnimalBodyPart
