child-id,parent-id
Propeller,AirplanePart
AirplaneRunway-TouchdownZone,AirplaneRunway
AirplaneRunway-DisplacedThreshold,Airport-Physical
AirplaneRunway-Overrun,Airport-Physical
AirTrafficServiceRouteSegment,AirTrafficServiceRoute
UnmannedAerialVehicle,AirTransportationDevice
AviationGroundSupportEquipment,AirTransportationSupportSystem
MandarinDuck,AixGenus
WoodDuck,AixGenus
Siren,AlarmDevice
CyclohexylAlcohol,Alcohol-Compound
Pentaerythritol,Alcohol-Compound
Beer,AlcoholicBeverage
FortifiedWine,AlcoholicBeverage
Wine,AlcoholicBeverage
Acrolein,Aldehyde
Crotonaldehyde,Aldehyde
Archaeplastida,Algae
Cryptomonas,Algae-LikeProtist
GoldenAlgae,Algae-LikeProtist
FractalRepresentation,Algorithm
Cesium,AlkaliMetal
Francium,AlkaliMetal
Lithium,AlkaliMetal
Potassium,AlkaliMetal
Rubidium,AlkaliMetal
Sodium,AlkaliMetal
Epibatidine,Alkaloid
Diketene,Alkene
Styrene,Alkene
Acetylene,Alkyne
CarbonForm,Allotrope
Ozone,Allotrope
AluminiumAlloy,Alloy
Beryllium-UraniumAlloy,Alloy
Bronze-Stuff,Alloy
MagnesiumAlloy,Alloy
StainlessSteel,Alloy
Steel,Alloy
TitaniumAlloy,Alloy
AllylAlcohol,AllylAmine
FarmersAlmanac-TheReferenceWork,Almanac
Crystal,AlmostTransparent
RomanAlphabet,Alphabet
DigitalCurrency,AlternativeCurrency
Chiropractic,AlternativeHolisticMedicine
EarCandlingTherapy,AlternativeHolisticMedicine
AlternativeMedicalTreatment,AlternativeMedicine
AlternativePhysics,AlternativeScience
Ciliate,Alveolate
Dinoflagellate,Alveolate
FlyAgaricMushroom,Amanita
BirdWatching,AmateurActivity
Walking,Ambulation
UnslakedLime,AmebicideTrichomonacid
Amendment,Amendment-PCW
BricklinSV-1,AmericanAutomobile
NashCar,AmericanAutomobile
CinnamonBear,AmericanBlackBear
KermodeBear,AmericanBlackBear
CollegeFootballCompetition,AmericanFootballCompetition
FootballHelmet,AmericanFootballEquipment
AMCConcordCar,AmericanMotors
AMCGremlin,AmericanMotors
Sandwich,AmericanStyleFastFoodCuisine
AllylAmine,Amine
Methyldiethanolamine,Amine
Monoethanolamine,Amine
Nucleoside,Amine
QL-Chemical,Amine
Triethanolamine,Amine
Amoxicillin,Aminopenicillin
Cartridge,Ammunition
Benzphetamine,Amphetimine
MiniatureGolfCourse,AmusementPark
Fermentation,AnaerobicBiochemicalProcess
NitrousOxide,AnaestheticDioxolaneRelated
Cocaine,AnaestheticQuinolineRelated
Acetaminophen,Analgesic
Aspirin,Analgesic
Fentanyl,AnalgesicPiperidine
AnaplasmaPhagocytophilum,Anaplasma-Genus
ColonAnatomy,AnatomicalVessel
OrganSystem,Anatomy
Petroglyph,AncientArt
BronzeAgeLiterature,AncientLiterature
AncientTownSquare,AncientSite
ByzantineSite,AncientSite
Andreaea,Andreaeaceae
AndreaeaFrigida,Andreaeaceae
Procaine,Anesthetic
AnguinaTritici,Anguina
AngularDistanceBetweenTwoVectors,AngularDistance
ArcMinute,AngularDistance
ArcSecond,AngularDistance
Diphenylamine,Aniline
Deuterostome,Animal
Dinosaur,Animal
OviparousAnimal,Animal
Poikilotherm,Animal
Porifera,Animal
Cattle,Animal-HumanFoodSource
DomesticTurkey,Animal-HumanFoodSource
Meat,Animal-HumanFoodSource
Occupation-AnimalActivity,AnimalActivity
Organization-AnimalActivity,AnimalActivity
