id,type,subPropertyOf,domain,range
rc:benefits,owl:DatatypeProperty,kko:qualitiesData,rc:JobListing,xsd:string
rc:best_case_time_complexity,owl:DatatypeProperty,kko:ratingsData,rc:Algorithm,xsd:decimal
rc:best_rating,owl:DatatypeProperty,kko:quantitiesData,rc:Rating,xsd:decimal
rc:billing_increment,owl:DatatypeProperty,kko:quantitiesData,rc:Pricing,xsd:decimal
rc:billing_period,owl:DatatypeProperty,kko:eventualsData,rc:Bill_PaymentRequest,
rc:binding_energy,owl:DatatypeProperty,kko:qualitiesData,rc:Matter,xsd:decimal
rc:birth_date,owl:DatatypeProperty,kko:eventualsData,kko:Persons,
rc:bite_force_quotient,owl:DatatypeProperty,kko:ratingsData,rc:TaxonomyBiology,xsd:decimal
rc:bitrate,owl:DatatypeProperty,kko:quantitiesData,rc:MediaObject,xsd:string
rc:block_size,owl:DatatypeProperty,kko:qualitiesData,rc:CommunicationConvention,xsd:decimal
rc:boardingGroup,owl:DatatypeProperty,kko:partsData,rc:AirlineReservation,xsd:string
rc:boiling_point,owl:DatatypeProperty,kko:qualitiesData,rc:ChemicalSubstance,xsd:decimal
rc:booking_time,owl:DatatypeProperty,kko:eventualsData,rc:Reservation,
rc:bore,owl:DatatypeProperty,kko:qualitiesData,rc:WheeledTransportationDevice,xsd:decimal
rc:box,owl:DatatypeProperty,kko:formsData,rc:GeometricFigure,xsd:string
rc:box_office,owl:DatatypeProperty,kko:quantitiesData,rc:VideoConceptualWork,xsd:decimal
rc:broadcast_service_tier,owl:DatatypeProperty,kko:formsData,rc:Broadcasting,xsd:string
rc:broadcast_timezone,owl:DatatypeProperty,kko:situantsData,rc:Broadcasting,xsd:string
rc:browser_requirements,owl:DatatypeProperty,kko:extrinsicsData,rc:WebApplicationProgram,xsd:string
rc:budget,owl:DatatypeProperty,kko:quantitiesData,owl:Thing,xsd:decimal
rc:caliber,owl:DatatypeProperty,kko:quantitiesData,rc:Gun,xsd:decimal
rc:canonical_smiles,owl:DatatypeProperty,kko:formsData,rc:OrganicMaterial,xsd:string
rc:carbohydrate_content,owl:DatatypeProperty,kko:quantitiesData,rc:NutritionInformation,xsd:decimal
rc:cardinality_of_the_group,owl:DatatypeProperty,kko:quantitiesData,rc:GroupTheory,xsd:decimal
rc:cargo_volume,owl:DatatypeProperty,kko:quantitiesData,rc:Automobile,xsd:decimal
rc:carrier_requirements,owl:DatatypeProperty,kko:extrinsicsData,rc:MobileSoftware,xsd:string
rc:category,owl:DatatypeProperty,kko:conjoinsData,owl:Thing,xsd:string
rc:ceiling_exposure_limit,owl:DatatypeProperty,kko:qualitiesData,rc:ChemicalSubstance,xsd:decimal
rc:century_breaks,owl:DatatypeProperty,kko:extrinsicsData,rc:Snooker,xsd:decimal
rc:checkin_time,owl:DatatypeProperty,kko:eventualsData,rc:LodgingOrganization||rc:TravelReservation,
rc:checkout_time,owl:DatatypeProperty,kko:eventualsData,rc:LodgingOrganization||rc:TravelReservation,
rc:chemical_formula,owl:DatatypeProperty,kko:formsData,rc:ChemicalSubstance,xsd:string
rc:child_max_age,owl:DatatypeProperty,kko:quantitiesData,rc:Audience,xsd:decimal
rc:child_min_age,owl:DatatypeProperty,kko:quantitiesData,rc:Audience,xsd:decimal
rc:chinese_library_classification,owl:DatatypeProperty,kko:classificationsData,owl:Thing,xsd:string
rc:cholesterol_content,owl:DatatypeProperty,kko:quantitiesData,rc:NutritionInformation,xsd:decimal
rc:circle,owl:DatatypeProperty,kko:formsData,rc:GeometricFigure,xsd:string
rc:classification_of_instructional_programs_code,owl:DatatypeProperty,kko:classificationsData,rc:PersonTypeByOccupation,xsd:string
rc:clearance,owl:DatatypeProperty,kko:qualitiesData,rc:Bridge,xsd:decimal
rc:clock_speed,owl:DatatypeProperty,kko:quantitiesData,rc:CentralProcessingUnit,xsd:decimal
rc:closes,owl:DatatypeProperty,kko:eventualsData,rc:PublicPlace,
rc:cno_11_occupation_code,owl:DatatypeProperty,kko:classificationsData,kko:Persons,xsd:string
rc:code_sample_type,owl:DatatypeProperty,kko:classificationsData,rc:ComputerCode_Source,xsd:string
rc:colleague,owl:DatatypeProperty,kko:typingsData,kko:Persons,xsd:string
rc:collection_or_exhibition_size,owl:DatatypeProperty,kko:quantitiesData,rc:Collections,xsd:decimal
rc:color_index,owl:DatatypeProperty,kko:qualitiesData,rc:AstronomicalObject,xsd:decimal
rc:color_schema,owl:DatatypeProperty,kko:qualitiesData,kko:Products,xsd:string
rc:comment_count,owl:DatatypeProperty,kko:quantitiesData,rc:ConceptualWork,xsd:decimal
rc:comment_time,owl:DatatypeProperty,kko:eventualsData,rc:UserComment,
rc:common_equity_tier_1_capital_ratio_ceti,owl:DatatypeProperty,kko:ratingsData,rc:BankOrganization,xsd:decimal
rc:compression_ratio,owl:DatatypeProperty,kko:ratingsData,rc:InternalCombustionEngine,xsd:decimal
rc:compulsory_education_maximum_age,owl:DatatypeProperty,kko:extrinsicsData,kko:Persons,xsd:decimal
rc:compulsory_education_minimum_age,owl:DatatypeProperty,kko:extrinsicsData,kko:Persons,xsd:decimal
rc:contact_type,owl:DatatypeProperty,kko:typingsData,rc:LocationAttributes,xsd:string
rc:content_rating,owl:DatatypeProperty,kko:ratingsData,rc:ConceptualWork,xsd:string
rc:content_size,owl:DatatypeProperty,kko:quantitiesData,rc:MediaObject,xsd:string
