id,type,subPropertyOf,domain,range
rc:architectuurgids_architect_id,owl:AnnotationProperty,kko:identifiers,rc:Architect,xsd:string
rc:architectuurgids_building_id,owl:AnnotationProperty,kko:identifiers,rc:Building,xsd:string
rc:archival_creator_authority_record_at_the_archives_nationales,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:archive_url,owl:AnnotationProperty,kko:pointers,rc:StructuredKnowledgeSource,xsd:string
rc:archon_code,owl:AnnotationProperty,kko:codes,kko:Organizations,xsd:string
rc:argentine_chamber_of_deputies_id,owl:AnnotationProperty,kko:identifiers,rc:Legislator,xsd:string
rc:argentine_olympic_committee_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:argentine_senate_member_id,owl:AnnotationProperty,kko:identifiers,rc:Legislator,xsd:string
rc:argentinian_historic_heritage_id,owl:AnnotationProperty,kko:identifiers,rc:CulturalHeritage,xsd:string
rc:aricns,owl:AnnotationProperty,kko:identifiers,rc:AstronomicalObject,xsd:string
rc:arlhs_lighthouse_id,owl:AnnotationProperty,kko:identifiers,rc:Lighthouse,xsd:string
rc:arlima_id,owl:AnnotationProperty,kko:identifiers,rc:MedievalLiterature,xsd:string
rc:arquivo_arq_id,owl:AnnotationProperty,kko:identifiers,rc:Architecture,xsd:string
rc:arrs_runner_id,owl:AnnotationProperty,kko:identifiers,rc:Runner,xsd:string
rc:art_museum_of_estonia_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:art_museum_of_estonia_artwork_id,owl:AnnotationProperty,kko:identifiers,rc:ArtObject,xsd:string
rc:art_name,owl:AnnotationProperty,kko:labels,kko:Persons,xsd:string
rc:art_renewal_center_artist_id,owl:AnnotationProperty,kko:identifiers,rc:ArtObject,xsd:string
rc:art_uk_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:art_uk_artwork_id,owl:AnnotationProperty,kko:identifiers,rc:TwoDimensionalArtObject,xsd:string
rc:art_uk_collection_id,owl:AnnotationProperty,kko:identifiers,rc:VideoConceptualWork,xsd:string
rc:art_uk_venue_id,owl:AnnotationProperty,kko:identifiers,rc:Building,xsd:string
rc:artic_artwork_id,owl:AnnotationProperty,kko:identifiers,rc:ArtObject,xsd:string
rc:article_id,owl:AnnotationProperty,kko:identifiers,rc:Article_PCW,xsd:string
rc:artnet_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:artsy_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:artsy_gene,owl:AnnotationProperty,kko:identifiers,rc:ArtObject,xsd:string
rc:as_com_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:ascap_ace_work_id,owl:AnnotationProperty,kko:identifiers,rc:MusicalComposition,xsd:string
rc:asf_kid_cave_tag_number,owl:AnnotationProperty,kko:identifiers,rc:Cave,xsd:string
rc:ashrae_refrigerant_number,owl:AnnotationProperty,kko:identifiers,rc:OrganicCompound,xsd:string
rc:asi_monument_id,owl:AnnotationProperty,kko:identifiers,rc:Monument,xsd:string
rc:assembly_version,owl:AnnotationProperty,kko:codes,rc:ApplicationProgrammingInterface,xsd:string
rc:associated_article,owl:AnnotationProperty,kko:relateds,rc:MediaObject,owl:Thing
rc:associated_media,owl:AnnotationProperty,kko:media,rc:ConceptualWork,xsd:base64Binary
rc:association_authors_of_switzerland_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:astronomic_symbol_image,owl:AnnotationProperty,kko:media,rc:AstronomicalObject,xsd:string
rc:at_cvet,owl:AnnotationProperty,kko:identifiers,rc:ChemicalSubstance,xsd:string
rc:at_the_circulating_library_id,owl:AnnotationProperty,kko:identifiers,rc:HomoGenus,xsd:string
rc:atari_legend_identifier,owl:AnnotationProperty,kko:identifiers,rc:ComputerGameProgram_Graphical,xsd:string
rc:atarimania_identifier,owl:AnnotationProperty,kko:identifiers,rc:ComputerGameProgram_Graphical,xsd:string
rc:atc_code,owl:AnnotationProperty,kko:codes,rc:ChemicalSubstance,xsd:string
rc:athenaeum_artwork_id,owl:AnnotationProperty,kko:identifiers,rc:ArtObject,xsd:string
rc:athenaeum_museum_id,owl:AnnotationProperty,kko:identifiers,rc:ArtObject,xsd:string
rc:athenaeum_person_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:athletics_australia_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:atlas_id,owl:AnnotationProperty,kko:identifiers,rc:VideoConceptualWork,xsd:string
rc:atlas_of_hillforts_id,owl:AnnotationProperty,kko:identifiers,rc:Fortification,xsd:string
rc:atomic_heritage_foundation_id,owl:AnnotationProperty,kko:identifiers,rc:CulturalHeritage,xsd:string
rc:atp_player_id,owl:AnnotationProperty,kko:identifiers,rc:TennisPlayer,xsd:string
rc:atp_tennis_tournament_id,owl:AnnotationProperty,kko:identifiers,rc:TennisTournament,xsd:string
rc:atvk_id,owl:AnnotationProperty,kko:identifiers,rc:AdministrativeDistrict,xsd:string
rc:au_amendi_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:auckland_art_gallery_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:audio,owl:AnnotationProperty,kko:media,rc:ConceptualWork,owl:Thing
rc:audio_recording_of_the_subject_s_spoken_voice,owl:AnnotationProperty,kko:media,kko:Persons,xsd:string
rc:aur_package,owl:AnnotationProperty,kko:identifiers,rc:ComputerProgram,xsd:string
rc:ausnut_food_id,owl:AnnotationProperty,kko:identifiers,rc:Food,xsd:string
rc:austlang_code,owl:AnnotationProperty,kko:codes,rc:HumanLanguage,xsd:string
rc:australasian_pollen_and_spore_atlas_code,owl:AnnotationProperty,kko:identifiers,rc:Flora,xsd:string
rc:australian_antarctic_gazetteer_id,owl:AnnotationProperty,kko:identifiers,rc:GeographicalPlace_Area,xsd:string
rc:australian_baseball_league_player_id,owl:AnnotationProperty,kko:identifiers,rc:BaseballPlayer,xsd:string
rc:australian_business_number,owl:AnnotationProperty,kko:identifiers,rc:CommercialServiceOrganization,xsd:string
rc:australian_company_number,owl:AnnotationProperty,kko:identifiers,rc:CommercialServiceOrganization,xsd:string
rc:australian_dictionary_of_biography_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:australian_football_com_id,owl:AnnotationProperty,kko:identifiers,rc:FootballPlayer_Australian,xsd:string
rc:australian_geological_provinces_id,owl:AnnotationProperty,kko:identifiers,rc:MineralField,xsd:string
rc:australian_government_organisations_register_id,owl:AnnotationProperty,kko:identifiers,rc:LegalGovernmentOrganization,xsd:string
rc:australian_heritage_database_place_id,owl:AnnotationProperty,kko:identifiers,rc:FixedStructure,xsd:string
rc:australian_national_shipwreck_id,owl:AnnotationProperty,kko:identifiers,rc:Watercraft_Surface,xsd:string
rc:australian_olympic_committee_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:australian_ramsar_site_id,owl:AnnotationProperty,kko:identifiers,rc:WetlandRegion,xsd:string
rc:australian_registered_scheme_number,owl:AnnotationProperty,kko:identifiers,rc:InvestmentVehicle,xsd:string
rc:australian_standard_geographic_classification_2006_id,owl:AnnotationProperty,kko:identifiers,rc:GeographicalPlace_Area,xsd:string
rc:australian_statistical_geography_2011_id,owl:AnnotationProperty,kko:identifiers,rc:GeographicalPlace_Area,xsd:string
rc:australian_statistical_geography_2016_id,owl:AnnotationProperty,kko:identifiers,rc:GeographicalPlace_Area,xsd:string
rc:australian_stratigraphic_units_database_id,owl:AnnotationProperty,kko:identifiers,rc:TopographicalFeature,xsd:string
rc:australian_wetlands_code,owl:AnnotationProperty,kko:identifiers,rc:WetlandRegion,xsd:string
rc:australian_women_s_register_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:austrian_municipality_key,owl:AnnotationProperty,kko:identifiers,rc:Municipality,xsd:string
rc:austrian_parliament_id,owl:AnnotationProperty,kko:identifiers,rc:ElectedOfficial,xsd:string
rc:author_citation_zoology,owl:AnnotationProperty,kko:relateds,rc:Author,xsd:string
rc:author_name_string,owl:AnnotationProperty,kko:labels,rc:PropositionalConceptualWork,xsd:string
rc:autonomous_system_number,owl:AnnotationProperty,kko:codes,rc:InternetProtocolAddress,xsd:string
rc:autores_ar_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:autores_uy_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:aviation_safety_network_accident_id,owl:AnnotationProperty,kko:identifiers,rc:VehicleAccident,xsd:string
rc:aviation_safety_network_wikibase_occurrence,owl:AnnotationProperty,kko:identifiers,rc:TransporterCrashEvent,xsd:string
rc:avibase_id,owl:AnnotationProperty,kko:identifiers,rc:Bird,xsd:string
rc:az_billiards_id,owl:AnnotationProperty,kko:identifiers,rc:CueSportsAthlete,xsd:string
rc:b_an_q_work_id,owl:AnnotationProperty,kko:identifiers,rc:TextualPCW,xsd:string
rc:ba_la_t_object_id,owl:AnnotationProperty,kko:identifiers,rc:Image,xsd:string
rc:ba_la_t_person_organisation_id,owl:AnnotationProperty,kko:identifiers,kko:Agents,xsd:string
rc:babel_net_id,owl:AnnotationProperty,kko:identifiers,rc:OrganismClassificationType,xsd:string
rc:babelio_author_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:babelio_work_id,owl:AnnotationProperty,kko:identifiers,rc:Book,xsd:string
rc:bac_dive_id,owl:AnnotationProperty,kko:identifiers,rc:Microorganism,xsd:string
rc:badminton_link_player_id,owl:AnnotationProperty,kko:identifiers,rc:BadmintonPlayer,xsd:string
rc:bag_residence_id,owl:AnnotationProperty,kko:identifiers,rc:PopulatedPlace,xsd:string
rc:bait_la_zemer_ha_ivri_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:bait_la_zemer_ha_ivri_song_id,owl:AnnotationProperty,kko:identifiers,rc:Song,xsd:string
rc:ballotpedia_id,owl:AnnotationProperty,kko:identifiers,rc:Article_PCW,xsd:string
rc:baltisches_biographisches_lexikon_digital_id_former_scheme,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:ban_q_author_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:band_number,owl:AnnotationProperty,kko:identifiers,rc:TribalOrganization,xsd:string
rc:bandcamp_id,owl:AnnotationProperty,kko:identifiers,rc:Musician,xsd:string
rc:bandysidan_player_id,owl:AnnotationProperty,kko:identifiers,rc:WinterSportsAthlete,xsd:string
rc:bangla_movie_database_id,owl:AnnotationProperty,kko:identifiers,rc:Movie,xsd:string
rc:bangladesh_administrative_division_code_pre_2017,owl:AnnotationProperty,kko:codes,rc:AdministrativeDivision,xsd:string
rc:banglapedia_bengali_version_id,owl:AnnotationProperty,kko:identifiers,rc:Encyclopedia,xsd:string
rc:banglapedia_english_version_id,owl:AnnotationProperty,kko:identifiers,rc:Encyclopedia,xsd:string
rc:banque_de_noms_de_lieux_du_quebec_id,owl:AnnotationProperty,kko:identifiers,kko:AreaRegion||kko:LocationPlace,xsd:string
rc:barbarian_f_c_id,owl:AnnotationProperty,kko:identifiers,rc:RugbyPlayer,xsd:string
rc:barbarian_r_c_id,owl:AnnotationProperty,kko:identifiers,rc:RugbyPlayer,xsd:string
rc:bargeton_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:barnes_foundation_id,owl:AnnotationProperty,kko:identifiers,rc:ArtObject,xsd:string
rc:bartoc_id,owl:AnnotationProperty,kko:identifiers,rc:PropositionalConceptualWork,xsd:string
rc:base_biographique_autor_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:baseball_almanac_id,owl:AnnotationProperty,kko:identifiers,rc:BaseballPlayer,xsd:string
rc:baseball_reference_com_major_league_player_id,owl:AnnotationProperty,kko:identifiers,rc:BaseballPlayer,xsd:string
rc:baseball_reference_com_minor_foreign_league_player_id,owl:AnnotationProperty,kko:identifiers,rc:BaseballPlayer,xsd:string
rc:bashkir_encyclopedia_bashkir_version_id,owl:AnnotationProperty,kko:identifiers,rc:Encyclopedia,xsd:string
rc:bashkir_encyclopedia_russian_version_id,owl:AnnotationProperty,kko:identifiers,rc:Encyclopedia,xsd:string
rc:basic_unit_of_settlement_code_czech_slovak,owl:AnnotationProperty,kko:codes,rc:AdministrativeDistrict,xsd:string
rc:basionym,owl:AnnotationProperty,kko:labels,rc:BiologicalLivingObject,owl:Thing
rc:basisregistratie_instellingen_number,owl:AnnotationProperty,kko:identifiers,rc:School_AcademicOrganization,xsd:string
rc:basketball_reference_com_europe_player_id,owl:AnnotationProperty,kko:identifiers,rc:BasketballPlayer,xsd:string
rc:basketball_reference_com_nba_coach_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:basketball_reference_com_nba_g_league_player_id,owl:AnnotationProperty,kko:identifiers,rc:BasketballPlayer,xsd:string
rc:basketball_reference_com_nba_player_id,owl:AnnotationProperty,kko:identifiers,rc:BasketballPlayer,xsd:string
rc:basketball_reference_com_wnba_coach_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:basketball_reference_com_wnba_player_id,owl:AnnotationProperty,kko:identifiers,rc:BasketballPlayer,xsd:string
rc:bathymetry_image,owl:AnnotationProperty,kko:media,rc:BodyOfWater_Area,xsd:string
rc:bav_id,owl:AnnotationProperty,kko:identifiers,owl:Thing,xsd:string
rc:bavarian_geotope_id,owl:AnnotationProperty,kko:identifiers,rc:GeographicalPlace_Area,xsd:string
rc:bavarian_monument_authority_id,owl:AnnotationProperty,kko:identifiers,rc:Monument,xsd:string
rc:bavarikon_id,owl:AnnotationProperty,kko:identifiers,rc:PopulatedPlace,xsd:string
rc:bbc_genome_id,owl:AnnotationProperty,kko:identifiers,rc:TVSeriesProduct,xsd:string
rc:bbc_news_democracy_live_id,owl:AnnotationProperty,kko:identifiers,rc:HomoGenus,xsd:string
rc:bbc_programme_id,owl:AnnotationProperty,kko:identifiers,rc:ConceptualWork,xsd:string
rc:bbc_things_id,owl:AnnotationProperty,kko:identifiers,rc:TVShow,xsd:string
rc:bbf_id,owl:AnnotationProperty,kko:identifiers,rc:HomoGenus,xsd:string
rc:bc_geographical_names_id,owl:AnnotationProperty,kko:identifiers,kko:Places,xsd:string
rc:bc_sports_hall_of_fame_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:bcu_ecrivainsvd,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:bd_futbol_player_id,owl:AnnotationProperty,kko:identifiers,rc:SoccerPlayer,xsd:string
rc:bdcyl_authority_id,owl:AnnotationProperty,kko:identifiers,rc:Encyclopedia,xsd:string
rc:bdrc_resource_id,owl:AnnotationProperty,kko:identifiers,rc:Temple,xsd:string
rc:beach_volleyball_database_id,owl:AnnotationProperty,kko:identifiers,rc:VolleyballPlayer,xsd:string
rc:beazley_archive_pottery_database_id,owl:AnnotationProperty,kko:identifiers,rc:Pottery,xsd:string
rc:bechdel_test_movie_list_id,owl:AnnotationProperty,kko:identifiers,rc:Movie,xsd:string
rc:beer_advocate_brewery_id,owl:AnnotationProperty,kko:identifiers,rc:Brewery,xsd:string
rc:before_media,owl:AnnotationProperty,kko:media,rc:InstructionalWork,xsd:string
rc:behind_the_voice_actors_video_game_id,owl:AnnotationProperty,kko:identifiers,rc:ComputerGameProgram_Graphical,xsd:string
rc:bekker_number,owl:AnnotationProperty,kko:identifiers,rc:PropositionalConceptualWork,xsd:string
rc:belgian_senate_person_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:belvedere_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:benezit_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:berl_pap_identifier,owl:AnnotationProperty,kko:identifiers,rc:WrittenCharacterSequence,xsd:string
rc:berlin_cultural_heritage_id,owl:AnnotationProperty,kko:identifiers,rc:FixedStructure,xsd:string
rc:bfi_films_tv_and_people_id,owl:AnnotationProperty,kko:identifiers,rc:MediaProduct,xsd:string
rc:bfi_national_archive_work_id,owl:AnnotationProperty,kko:identifiers,rc:VideoConceptualWork,xsd:string
rc:bg_ekatte_place_id,owl:AnnotationProperty,kko:identifiers,rc:PopulatedPlace,xsd:string
rc:bgs_lexicon_id,owl:AnnotationProperty,kko:identifiers,rc:TopographicalFeature,xsd:string
rc:bhl_bibliography_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:bhl_creator_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:bhl_page_id,owl:AnnotationProperty,kko:identifiers,rc:ShortTermStudy,xsd:string
rc:bibcode,owl:AnnotationProperty,kko:codes,rc:ReferenceWork_Written,xsd:string
rc:biblio_net_author_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:biblio_net_publication_id,owl:AnnotationProperty,kko:identifiers,rc:Story,xsd:string
rc:biblio_net_publisher_id,owl:AnnotationProperty,kko:identifiers,rc:AcademicOrganization,xsd:string
rc:biblioteca_nacional_de_chile_catalogue_number,owl:AnnotationProperty,kko:identifiers,rc:PropositionalConceptualWork,xsd:string
rc:biblioteca_nacional_de_espa_a_id,owl:AnnotationProperty,kko:identifiers,owl:Thing,xsd:string
rc:biblioteca_nacional_de_mexico_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:bibliotheque_nationale_de_france_id,owl:AnnotationProperty,kko:identifiers,owl:Thing,xsd:string
rc:bibo_id,owl:AnnotationProperty,kko:identifiers,owl:Thing,xsd:string
rc:bibsys_id,owl:AnnotationProperty,kko:identifiers,owl:Thing,xsd:string
rc:bien_de_interes_cultural_bic_code,owl:AnnotationProperty,kko:identifiers,rc:Building,xsd:string
rc:bildindex_der_kunst_und_architektur_id,owl:AnnotationProperty,kko:identifiers,rc:TwoDimensionalArtObject,xsd:string
rc:billboard_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:billing_address,owl:AnnotationProperty,kko:pointers,rc:Receipt,xsd:string
rc:billion_graves_cemetery_id,owl:AnnotationProperty,kko:identifiers,rc:Gravesite,xsd:string
rc:bio_lib_id,owl:AnnotationProperty,kko:identifiers,rc:OrganismClassificationType,xsd:string
rc:biografisch_portal_number,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:biographical_dictionary_of_georgia_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:biographical_dictionary_of_swedish_women,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:biographical_directory_of_federal_judges_id,owl:AnnotationProperty,kko:identifiers,rc:Judge,xsd:string
rc:biography_at_the_bundestag_of_germany,owl:AnnotationProperty,kko:relateds,rc:ElectedOfficial,xsd:string
rc:biography_at_the_landtag_of_mecklenburg_vorpommern,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:birth_name,owl:AnnotationProperty,kko:labels,kko:Persons,xsd:string
rc:bivouac_com_mountain_id,owl:AnnotationProperty,kko:identifiers,rc:Mountain,xsd:string
rc:bivouac_com_pass_id,owl:AnnotationProperty,kko:identifiers,rc:Pass_Geographical,xsd:string
rc:bldam_object_id,owl:AnnotationProperty,kko:identifiers,rc:Monument,xsd:string
rc:bloomberg_company_id,owl:AnnotationProperty,kko:identifiers,rc:CommercialServiceOrganization,xsd:string
rc:bloomberg_person_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:blue_style_com_id,owl:AnnotationProperty,kko:identifiers,rc:FixedStructure,xsd:string
rc:bluebook_abbreviation,owl:AnnotationProperty,kko:labels,rc:ReferenceWork_Written,xsd:string
rc:bmlo_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:bmx_results_com_rider_id,owl:AnnotationProperty,kko:identifiers,rc:MotorsportAthlete,xsd:string
rc:bn_argentine_editions,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:bna_authority_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:bnc_id,owl:AnnotationProperty,kko:identifiers,owl:Thing,xsd:string
rc:bncf_thesaurus_id,owl:AnnotationProperty,kko:identifiers,rc:Artifact,xsd:string
rc:bne_journal_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:bo_f_person_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:board_game_geek_designer_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:board_game_geek_id,owl:AnnotationProperty,kko:identifiers,rc:Game,xsd:string
rc:boat_of_heritage_interest_id,owl:AnnotationProperty,kko:identifiers,rc:Ship,xsd:string
rc:boijmans_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:bold_systems_taxon_id,owl:AnnotationProperty,kko:identifiers,rc:TaxonomyBiology,xsd:string
rc:bollywood_hungama_person_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:book_brainz_author_id,owl:AnnotationProperty,kko:identifiers,rc:HomoGenus,xsd:string
rc:book_edition,owl:AnnotationProperty,kko:codes,rc:Book,xsd:string
rc:booking_com_hotel_id,owl:AnnotationProperty,kko:identifiers,rc:HotelBuilding,xsd:string
rc:borden_code,owl:AnnotationProperty,kko:identifiers,rc:HistoricalSite,xsd:string
rc:botanist_author_abbreviation,owl:AnnotationProperty,kko:labels,kko:Persons,xsd:string
rc:box_office_mojo_film_id,owl:AnnotationProperty,kko:identifiers,rc:Movie,xsd:string
rc:box_office_mojo_franchise_id,owl:AnnotationProperty,kko:identifiers,rc:ConceptualWork,xsd:string
rc:box_office_mojo_person_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:box_office_mojo_studio_id,owl:AnnotationProperty,kko:identifiers,rc:Movie,xsd:string
rc:box_rec_boxer_id,owl:AnnotationProperty,kko:identifiers,rc:Boxer,xsd:string
rc:bph_journal_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:bps_language_code,owl:AnnotationProperty,kko:codes,rc:HumanLanguage,xsd:string
rc:bradley_and_fletcher_checklist_number,owl:AnnotationProperty,kko:identifiers,rc:Butterfly,xsd:string
rc:brain_info_id_hierarchical,owl:AnnotationProperty,kko:identifiers,rc:Brain,xsd:string
rc:branch_code,owl:AnnotationProperty,kko:codes,kko:Places,xsd:string
rc:brand_schema,owl:AnnotationProperty,kko:labels,kko:Agents,xsd:string
rc:brazilian_municipality_code,owl:AnnotationProperty,kko:identifiers,rc:Municipality,xsd:string
rc:brazilian_olympic_committee_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:breadcrumb,owl:AnnotationProperty,kko:pointers,rc:WebPage,xsd:string
rc:bridge_reports_com_id,owl:AnnotationProperty,kko:identifiers,rc:Bridge,xsd:string
rc:bridgehunter_com_id,owl:AnnotationProperty,kko:identifiers,rc:Bridge,xsd:string
rc:bridgeman_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:british_bobsleigh_skeleton_association_id,owl:AnnotationProperty,kko:identifiers,rc:WinterSportsAthlete,xsd:string
rc:british_book_trade_index_id,owl:AnnotationProperty,kko:identifiers,rc:Book,xsd:string
rc:british_council_artist_id,owl:AnnotationProperty,kko:identifiers,rc:Artist,xsd:string
rc:british_history_online_vch_id,owl:AnnotationProperty,kko:identifiers,rc:PopulatedPlace_Historical,xsd:string
rc:british_museum_person_institution,owl:AnnotationProperty,kko:identifiers,kko:Agents,xsd:string
rc:british_olympic_association_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:broadcast_channel_id,owl:AnnotationProperty,kko:identifiers,rc:Broadcasting,xsd:string
rc:broadcast_display_name,owl:AnnotationProperty,kko:labels,rc:Broadcasting,xsd:string
rc:brockhaus_enzyklopadie_online_id,owl:AnnotationProperty,kko:identifiers,rc:Encyclopedia,xsd:string
rc:brooklyn_museum_artwork_id,owl:AnnotationProperty,kko:identifiers,rc:ArtObject,xsd:string
rc:brueckenweb_id,owl:AnnotationProperty,kko:identifiers,rc:Bridge,xsd:string
rc:bsd_portal_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:WinterSportsAthlete,xsd:string
rc:bto_birds_of_britain_id,owl:AnnotationProperty,kko:identifiers,rc:Bird,xsd:string
rc:bto_five_letter_code,owl:AnnotationProperty,kko:codes,rc:Bird,xsd:string
rc:bug_guide_id,owl:AnnotationProperty,kko:identifiers,rc:OrganismClassificationType,xsd:string
rc:bug_tracking_system,owl:AnnotationProperty,kko:augments,rc:ComputerProgram,xsd:string
rc:bulbapedia_article,owl:AnnotationProperty,kko:identifiers,rc:ConceptualWork,xsd:string
rc:bureau_du_patrimoine_de_seine_saint_denis_id,owl:AnnotationProperty,kko:identifiers,rc:FixedStructure,xsd:string
rc:burial_plot_reference,owl:AnnotationProperty,kko:pointers,rc:StillImageSource,xsd:string
rc:bus_name,owl:AnnotationProperty,kko:identifiers,rc:BusTrip,xsd:string
rc:bus_number,owl:AnnotationProperty,kko:identifiers,rc:BusTrip,xsd:string
rc:but_moth_id,owl:AnnotationProperty,kko:identifiers,rc:Butterfly,xsd:string
rc:butterflies_and_moths_of_north_america_id,owl:AnnotationProperty,kko:identifiers,rc:Lepidopteran,xsd:string
rc:bvmc_person_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:bvmc_place_id,owl:AnnotationProperty,kko:identifiers,rc:PopulatedPlace_Historical,xsd:string
rc:bvmc_work_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:bvpb_authority_id,owl:AnnotationProperty,kko:identifiers,rc:Topic,xsd:string
rc:bvph_publication_id,owl:AnnotationProperty,kko:identifiers,rc:Periodical,xsd:string
rc:bw_fbadminton_com_player_id,owl:AnnotationProperty,kko:identifiers,rc:BadmintonPlayer,xsd:string
rc:bwf_tournamentsoftware_com_player_id,owl:AnnotationProperty,kko:identifiers,rc:BadmintonPlayer,xsd:string
rc:c_span_organization_id,owl:AnnotationProperty,kko:identifiers,kko:Organizations,xsd:string
rc:c_span_person_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:cadw_building_id,owl:AnnotationProperty,kko:identifiers,rc:Building,xsd:string
rc:cadw_monument_id,owl:AnnotationProperty,kko:identifiers,rc:Monument,xsd:string
rc:cage_match_tag_team_id,owl:AnnotationProperty,kko:identifiers,rc:Wrestler,xsd:string
rc:cage_match_worker_id,owl:AnnotationProperty,kko:identifiers,rc:Wrestler,xsd:string
rc:cage_match_wrestling_stable_id,owl:AnnotationProperty,kko:identifiers,rc:Wrestler,xsd:string
rc:cairn_author_id,owl:AnnotationProperty,kko:identifiers,rc:Author,xsd:string
rc:cairn_journal_id,owl:AnnotationProperty,kko:identifiers,rc:PublishedConceptualWork,xsd:string
rc:calflora_id,owl:AnnotationProperty,kko:identifiers,rc:Flora,xsd:string
rc:california_sports_hall_of_fame_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
rc:calis_id,owl:AnnotationProperty,kko:identifiers,kko:Persons,xsd:string
rc:call_sign,owl:AnnotationProperty,kko:labels,rc:Ship,xsd:string
rc:callsign_of_airline,owl:AnnotationProperty,kko:identifiers,rc:AirlineCompany,xsd:string
rc:cambridge_alumni_database_id,owl:AnnotationProperty,kko:identifiers,rc:Graduate,xsd:string
rc:canada_s_sports_hall_of_fame_athlete_id,owl:AnnotationProperty,kko:identifiers,rc:Athlete,xsd:string
